Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,17.97,18.75,17.91,18.55,9625600,16.78
2008-12-30,17.82,18.13,17.70,18.00,11777300,16.28
2008-12-29,17.96,18.10,17.51,17.70,8033700,16.01
2008-12-26,18.08,18.15,17.62,17.91,4598100,16.20
2008-12-24,18.00,18.15,17.92,17.97,4189500,16.26
2008-12-23,18.69,18.84,17.84,17.96,10255200,16.25
2008-12-22,19.33,19.49,18.14,18.42,10756400,16.66
2008-12-19,19.14,19.87,18.59,19.43,19990700,17.58
2008-12-18,19.99,20.19,18.50,18.90,17509900,17.10
2008-12-17,19.41,20.43,19.20,19.81,13117300,17.92
2008-12-16,19.64,20.20,19.00,20.06,22216000,18.15
2008-12-15,20.40,20.68,19.06,19.34,14855500,17.50
2008-12-12,19.36,20.64,18.33,20.34,15861800,18.40
2008-12-11,21.01,21.44,19.95,20.13,16297200,18.21
2008-12-10,22.27,22.55,20.46,21.56,18269900,19.50
2008-12-09,24.04,24.39,23.08,23.29,14661000,21.07
2008-12-08,22.57,24.86,22.37,24.44,20394300,22.11
2008-12-05,20.53,22.26,20.18,21.78,17112100,19.70
2008-12-04,21.26,22.42,20.55,20.84,15229300,18.85
2008-12-03,20.04,22.19,19.96,21.87,14341200,19.79
2008-12-02,20.15,20.88,19.44,20.76,16046600,18.78
2008-12-01,22.39,22.72,19.37,19.64,19705000,17.77
2008-11-28,22.22,23.36,21.79,23.31,7156700,21.09
2008-11-26,20.91,22.53,20.65,22.30,12390500,20.17
2008-11-25,21.72,22.45,20.30,21.37,24395400,19.33
2008-11-24,19.19,21.82,18.48,21.18,24870400,19.16
2008-11-21,18.42,19.03,16.55,18.69,32513000,16.91
2008-11-20,18.49,19.14,16.93,17.23,25404100,15.59
2008-11-19,18.96,19.63,18.50,18.74,23075500,16.95
2008-11-18,18.95,20.18,18.49,19.38,21004000,17.53
2008-11-17,19.47,20.53,19.18,19.37,16398600,17.52
2008-11-14,20.00,21.50,19.66,19.99,21674900,18.08
2008-11-13,19.85,21.64,16.55,20.78,47721200,18.80
2008-11-12,20.96,21.25,19.75,20.05,35778000,18.14
2008-11-11,23.47,23.50,22.00,22.40,19968600,20.26
2008-11-10,25.92,26.04,23.50,23.98,11937400,21.69
2008-11-07,25.14,25.58,24.30,25.31,13491200,22.90
2008-11-06,27.50,27.81,24.55,24.92,21928000,22.54
2008-11-05,29.00,29.83,27.58,27.83,12890300,25.18
2008-11-04,29.26,30.26,28.61,29.82,15611600,26.98
2008-11-03,27.31,28.66,27.16,28.32,12513700,25.62
2008-10-31,25.74,27.93,25.60,27.50,15999400,24.88
2008-10-30,25.57,26.77,25.50,26.06,15860900,23.58
2008-10-29,25.29,26.73,24.75,25.21,17726700,22.81
2008-10-28,24.26,25.68,22.34,25.47,17123400,23.04
2008-10-27,23.80,24.79,22.97,23.08,10516700,20.88
2008-10-24,22.58,24.74,22.07,24.05,18335800,21.76
2008-10-23,25.16,25.20,22.93,24.53,16648500,22.19
2008-10-22,25.15,26.17,24.22,25.02,20121600,22.64
2008-10-21,25.28,27.08,23.75,26.39,30236400,23.87
2008-10-20,23.95,24.41,22.87,24.35,18306600,22.03
2008-10-17,22.92,25.44,22.61,23.33,21527500,21.11
2008-10-16,24.85,24.88,22.01,23.64,23469400,21.39
2008-10-15,27.10,27.34,24.01,24.41,18978200,22.08
2008-10-14,29.05,31.64,26.70,28.19,23749600,25.50
2008-10-13,24.74,28.23,23.69,27.30,22808600,24.70
2008-10-10,22.47,25.00,20.50,23.15,45641400,20.94
2008-10-09,27.95,28.54,23.33,24.00,29127700,21.71
2008-10-08,27.00,30.35,27.00,27.12,20355200,24.53
2008-10-07,30.73,32.50,27.89,28.25,20965900,25.56
2008-10-06,29.83,31.34,27.36,30.07,24569900,27.20
2008-10-03,33.35,33.50,30.50,30.87,14319600,27.93
2008-10-02,35.30,35.30,32.00,32.14,15425500,29.08
2008-10-01,34.91,35.80,34.13,35.34,8650900,31.97
2008-09-30,34.44,35.68,32.99,35.43,13025700,31.89
2008-09-29,38.16,38.16,32.55,32.55,20234900,29.30
2008-09-26,36.62,39.58,35.35,39.50,16334000,35.55
2008-09-25,37.66,39.35,37.42,37.83,7670000,34.05
2008-09-24,38.44,38.72,36.61,37.50,7097900,33.75
2008-09-23,36.98,38.50,36.36,38.28,10273700,34.46
2008-09-22,39.92,40.50,36.42,37.29,14951400,33.56
2008-09-19,39.93,41.10,37.54,40.40,32871700,36.36
2008-09-18,34.10,38.25,32.95,37.72,43084400,33.95
2008-09-17,35.35,35.88,31.68,33.04,37399600,29.74
2008-09-16,34.20,36.15,34.16,36.07,27768900,32.47
2008-09-15,36.99,38.70,35.45,35.48,31418000,31.93
2008-09-12,38.04,39.35,37.64,38.95,12977400,35.06
2008-09-11,37.46,38.90,36.94,38.76,19227400,34.89
2008-09-10,38.79,39.46,37.68,38.16,13703200,34.35
2008-09-09,40.36,40.85,38.13,38.24,16838700,34.42
2008-09-08,41.29,41.80,39.50,40.52,24921400,36.47
2008-09-05,38.20,39.47,37.72,39.40,14005000,35.46
2008-09-04,40.00,40.10,38.33,38.75,18672300,34.88
2008-09-03,40.50,41.00,39.80,40.91,11751500,36.82
2008-09-02,40.75,41.78,39.80,40.63,11079600,36.57
2008-08-29,39.92,40.14,39.39,39.68,9396000,35.72
2008-08-28,39.36,40.47,39.21,40.39,12813600,36.35
2008-08-27,37.91,38.90,37.59,38.82,8549200,34.94
2008-08-26,37.85,38.34,37.50,38.05,6985200,34.25
2008-08-25,38.35,38.49,37.62,37.81,10408900,34.03
2008-08-22,38.19,38.95,37.65,38.79,13719900,34.91
2008-08-21,36.84,37.54,36.50,37.01,9544900,33.31
2008-08-20,36.83,38.25,36.36,37.43,13003800,33.69
2008-08-19,37.29,37.29,36.18,36.73,13364500,33.06
2008-08-18,39.20,39.34,37.58,37.99,12374500,34.19
2008-08-15,38.60,39.71,38.46,39.07,15295100,35.17
2008-08-14,36.66,38.40,36.51,38.20,11987100,34.38
2008-08-13,37.87,37.87,36.26,36.89,13990100,33.20
2008-08-12,38.89,39.04,37.68,38.05,13758100,34.25
2008-08-11,37.76,40.17,37.50,39.17,11970000,35.26
2008-08-08,36.33,38.31,36.06,37.81,15760600,34.03
2008-08-07,37.49,38.27,35.93,36.40,18416700,32.76
2008-08-06,38.39,38.48,37.50,37.99,13702200,34.19
2008-08-05,37.30,38.81,36.99,38.72,14763700,34.85
2008-08-04,37.09,37.30,36.13,36.85,10245700,33.17
2008-08-01,37.18,37.43,36.00,37.19,9724400,33.47
2008-07-31,37.05,38.00,36.70,37.12,12856000,33.41
2008-07-30,37.95,38.40,36.62,37.54,14826000,33.79
2008-07-29,35.65,37.56,35.10,37.52,17865700,33.77
2008-07-28,36.51,37.04,35.15,35.37,16145700,31.84
2008-07-25,36.73,38.09,36.20,36.62,19237500,32.96
2008-07-24,39.54,39.66,36.10,36.41,22296200,32.77
2008-07-23,38.35,39.80,37.29,39.34,29411200,35.41
2008-07-22,36.38,38.55,36.00,37.99,48554300,34.19
2008-07-21,42.31,42.50,40.53,40.90,16198600,36.81
2008-07-18,41.97,42.35,40.50,42.19,16856200,37.97
2008-07-17,40.44,42.25,39.36,41.79,23203100,37.61
2008-07-16,37.53,39.67,36.97,39.67,19665700,35.71
2008-07-15,36.75,38.88,35.55,37.02,25454600,33.32
2008-07-14,39.77,40.00,37.40,37.51,15879100,33.76
2008-07-11,38.51,40.40,37.34,39.21,19191800,35.29
2008-07-10,39.08,39.68,38.06,39.04,13120900,35.14
2008-07-09,41.59,41.59,38.67,39.01,13857400,35.11
2008-07-08,39.61,41.80,39.03,41.55,15838800,37.24
2008-07-07,40.48,41.45,38.40,39.59,15778100,35.48
2008-07-03,39.97,40.89,39.62,40.24,10758200,36.06
2008-07-02,40.11,40.90,39.50,39.62,16653400,35.51
2008-07-01,37.95,40.14,37.77,40.02,23788400,35.87
2008-06-30,38.17,38.68,37.61,37.67,15452000,33.76
2008-06-27,39.01,39.60,37.94,38.04,22203200,34.09
2008-06-26,40.42,40.45,38.80,38.89,25420600,34.85
2008-06-25,41.49,42.28,40.72,40.94,20927400,36.69
2008-06-24,40.65,42.49,40.57,42.10,12374800,37.73
2008-06-23,41.28,41.71,40.56,40.88,10132300,36.64
2008-06-20,42.22,42.30,41.11,41.18,14217900,36.90
2008-06-19,42.31,42.79,41.22,42.63,12893600,38.20
2008-06-18,42.45,43.12,41.59,42.42,13333100,38.02
2008-06-17,45.04,45.17,42.70,42.76,13699800,38.32
2008-06-16,44.37,45.82,43.85,44.68,13745400,40.04
2008-06-13,43.84,44.78,43.31,44.66,7645200,40.02
