Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,41.59,43.05,41.50,42.67,5443100,37.03
2008-12-30,40.08,41.34,39.81,41.25,4549700,35.80
2008-12-29,40.38,40.55,39.50,39.99,3876600,34.70
2008-12-26,39.76,40.69,39.76,40.53,2803400,35.17
2008-12-24,40.24,40.79,40.04,40.12,1753500,34.82
2008-12-23,41.25,41.50,39.83,40.15,5270500,34.84
2008-12-22,40.65,41.56,40.00,41.12,5397200,35.69
2008-12-19,41.32,42.39,41.00,41.24,9903900,35.79
2008-12-18,41.31,41.75,40.69,41.07,8652600,35.64
2008-12-17,41.16,41.50,40.15,41.02,7270600,35.60
2008-12-16,39.21,42.00,38.20,41.90,11041400,36.36
2008-12-15,39.60,39.88,38.20,38.74,8228000,33.62
2008-12-12,39.56,39.74,38.20,39.20,10337400,34.02
2008-12-11,40.65,42.01,40.02,40.27,7691900,34.95
2008-12-10,41.49,42.69,40.94,41.68,5181000,36.17
2008-12-09,41.57,42.44,40.65,40.82,8306100,35.42
2008-12-08,40.35,43.69,40.04,42.85,13096400,37.19
2008-12-05,38.00,39.57,36.28,39.53,10564600,34.31
2008-12-04,39.84,41.33,38.50,39.19,7244200,34.01
2008-12-03,40.23,41.10,39.15,40.47,8007000,35.12
2008-12-02,40.54,41.00,39.25,40.70,6029400,35.32
2008-12-01,41.64,42.00,39.74,39.88,7817500,34.61
2008-11-28,41.17,42.80,41.10,42.63,2608200,37.00
2008-11-26,39.35,41.34,39.02,41.28,6256400,35.82
2008-11-25,40.55,40.80,39.54,40.18,9618700,34.87
2008-11-24,40.05,41.25,38.89,40.75,9682300,35.36
2008-11-21,37.18,39.93,36.17,39.58,13259700,34.35
2008-11-20,36.98,39.74,36.72,37.11,13406300,32.21
2008-11-19,39.28,40.13,37.45,37.48,10614300,32.53
2008-11-18,40.60,40.76,38.05,39.56,12209200,34.33
2008-11-17,40.61,42.80,40.50,41.18,7042600,35.74
