Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,43.70,45.10,43.70,44.67,6277400,38.58
2008-12-30,42.57,43.75,42.01,43.66,5060400,37.71
2008-12-29,42.71,43.30,41.71,42.34,4973200,36.57
2008-12-26,41.98,42.91,41.90,42.72,2855200,36.90
2008-12-24,41.27,42.12,41.00,41.91,2110200,36.20
2008-12-23,42.08,42.27,40.65,41.13,6449900,35.53
2008-12-22,43.12,43.49,40.82,41.78,9148600,36.09
2008-12-19,42.72,43.17,41.91,42.69,13271200,36.87
2008-12-18,45.43,45.49,42.01,42.16,12694700,36.41
2008-12-17,43.35,45.70,43.01,44.65,9688000,38.57
2008-12-16,42.73,43.90,41.12,43.80,11652300,37.83
2008-12-15,42.57,43.06,41.50,42.21,8065200,36.46
2008-12-12,40.05,42.47,40.00,42.08,10389000,36.35
2008-12-11,43.01,44.89,41.70,42.20,12132100,36.45
2008-12-10,43.25,44.95,42.90,43.67,15423400,37.72
2008-12-09,42.05,44.16,41.26,42.38,15381700,36.60
2008-12-08,40.83,44.04,40.40,42.42,25502000,36.64
2008-12-05,37.05,38.65,36.69,38.26,14260300,33.05
2008-12-04,39.10,39.39,36.91,37.52,11379200,32.41
2008-12-03,37.39,40.06,36.93,39.65,14289200,34.25
2008-12-02,37.30,38.24,36.53,38.00,10440200,32.82
2008-12-01,38.92,38.92,36.37,36.58,13152700,31.60
2008-11-28,39.20,41.18,39.20,40.99,5429800,35.40
2008-11-26,36.00,39.35,35.70,39.33,11110900,33.97
2008-11-25,36.87,37.62,35.66,37.27,12915500,32.19
2008-11-24,36.49,36.94,34.60,36.34,16864600,31.39
2008-11-21,33.66,34.85,32.10,34.67,16836200,29.95
2008-11-20,33.37,35.56,32.23,32.84,19824100,28.36
2008-11-19,36.10,36.42,33.80,33.87,10596400,29.25
2008-11-18,35.33,36.30,34.73,36.19,12275800,31.26
2008-11-17,36.71,37.75,35.30,35.70,9379100,30.84
2008-11-14,38.51,39.39,36.71,36.96,11991200,31.92
2008-11-13,35.60,39.54,34.40,39.41,17357500,34.04
2008-11-12,36.55,36.71,35.05,35.08,10751000,30.30
2008-11-11,36.88,38.30,36.57,36.87,12705800,31.85
2008-11-10,40.25,40.88,36.82,37.41,13844100,32.31
2008-11-07,38.49,39.40,37.35,38.45,9256600,33.21
2008-11-06,39.82,40.60,37.34,37.60,13289300,32.48
2008-11-05,42.64,43.58,40.10,40.40,14047600,34.89
2008-11-04,40.39,42.43,39.83,42.25,11411400,36.49
2008-11-03,38.82,39.41,38.00,39.01,7617800,33.69
2008-10-31,37.21,39.19,36.10,38.20,9869200,32.99
2008-10-30,37.33,37.94,36.25,37.37,8689300,32.28
2008-10-29,35.53,38.44,34.50,36.14,16072900,31.22
2008-10-28,34.14,35.36,32.00,34.95,12818200,30.19
2008-10-27,32.81,34.90,32.35,32.78,12798100,28.31
2008-10-24,32.02,34.49,31.95,33.30,13391800,28.76
2008-10-23,36.78,36.92,33.86,35.36,17648000,30.54
2008-10-22,38.08,38.34,35.68,36.52,13842100,31.54
2008-10-21,40.40,41.35,38.52,38.83,14320400,33.54
2008-10-20,39.87,41.60,39.00,40.90,13386100,35.33
2008-10-17,41.39,42.91,39.01,39.32,18277600,33.96
2008-10-16,42.20,43.06,39.58,42.37,16082300,36.60
2008-10-15,45.79,46.30,41.98,42.06,12907900,35.97
2008-10-14,51.79,53.00,46.61,47.49,12060500,40.61
2008-10-13,45.00,49.50,44.86,49.48,10573100,42.31
2008-10-10,42.02,45.81,37.07,43.13,19740000,36.88
2008-10-09,48.59,49.26,44.26,44.80,11223300,38.31
2008-10-08,46.38,50.21,45.82,47.65,15858800,40.75
2008-10-07,50.69,52.76,47.08,47.33,13518900,40.47
2008-10-06,50.18,50.78,45.77,49.20,17852500,42.07
2008-10-03,53.70,55.65,50.98,51.21,11596500,43.79
2008-10-02,56.01,56.25,51.91,52.22,15011700,44.65
2008-10-01,58.71,59.03,54.89,56.95,15614000,48.70
2008-09-30,61.35,61.46,58.20,59.60,10165500,50.96
2008-09-29,62.55,63.38,58.11,59.89,12504600,51.21
2008-09-26,60.93,64.20,60.67,64.13,8264000,54.84
2008-09-25,62.38,63.22,60.75,61.96,7755400,52.98
2008-09-24,63.90,64.33,61.24,61.74,6657400,52.79
2008-09-23,64.66,65.73,63.01,63.54,6573900,54.33
2008-09-22,66.41,66.84,64.60,64.60,5921200,55.24
2008-09-19,70.89,74.50,65.96,66.49,15758600,56.86
2008-09-18,63.87,65.50,60.04,65.32,12983300,55.86
2008-09-17,63.48,65.45,62.80,63.15,9294000,54.00
2008-09-16,61.87,65.32,61.85,64.73,10035200,55.35
2008-09-15,63.30,64.85,63.02,63.21,7801200,54.05
2008-09-12,63.98,65.68,63.16,65.46,6967900,55.98
2008-09-11,62.41,64.81,61.21,64.81,9008200,55.42
2008-09-10,61.95,63.99,61.71,62.82,7916800,53.72
2008-09-09,64.89,65.00,61.38,61.38,10056300,52.49
2008-09-08,66.19,67.07,63.28,64.58,7218000,55.22
2008-09-05,63.79,64.44,62.92,64.07,9263500,54.79
2008-09-04,66.00,66.00,63.00,63.94,13684600,54.68
2008-09-03,68.96,69.11,67.19,67.73,8432000,57.92
2008-09-02,71.50,72.00,68.65,69.08,6906600,59.07
2008-08-29,71.34,71.97,70.46,70.73,4905300,60.48
2008-08-28,70.25,71.81,70.14,71.68,5520700,61.29
2008-08-27,68.64,69.86,68.62,69.56,3145100,59.48
2008-08-26,68.65,69.04,67.93,68.68,3391400,58.73
2008-08-25,70.01,70.15,68.14,68.56,4549800,58.63
2008-08-22,69.22,70.61,69.09,70.27,4257500,60.09
2008-08-21,68.16,69.25,67.61,68.70,5100700,58.75
2008-08-20,68.89,69.32,67.90,68.80,6401900,58.83
2008-08-19,68.95,69.31,68.25,68.69,4299800,58.74
2008-08-18,70.44,71.05,68.69,69.22,5527400,59.19
2008-08-15,70.61,71.36,69.80,70.35,5060800,60.16
2008-08-14,68.93,71.36,68.26,70.29,5671200,60.11
2008-08-13,69.56,70.05,67.72,69.83,9399200,59.71
2008-08-12,70.79,72.08,70.44,71.81,5705300,61.40
2008-08-11,70.63,71.37,70.05,70.80,3746900,60.54
2008-08-08,69.12,71.94,68.39,70.90,6544300,60.63
2008-08-07,70.07,70.61,68.70,68.93,7077800,58.94
2008-08-06,67.78,71.56,67.36,70.51,7390800,60.29
2008-08-05,67.86,68.38,67.34,68.18,6008700,58.30
2008-08-04,68.20,68.74,67.19,67.43,7415700,57.66
2008-08-01,69.67,70.00,67.88,68.14,6723700,58.27
2008-07-31,71.63,71.63,69.37,69.52,7185500,59.45
2008-07-30,71.52,72.27,70.62,72.07,4820500,61.63
2008-07-29,69.60,71.30,69.42,70.99,5234700,60.70
2008-07-28,70.38,70.77,69.11,69.19,5740500,59.16
2008-07-25,69.96,71.08,69.80,70.48,4727300,60.27
2008-07-24,72.64,72.72,69.59,69.78,8108600,59.67
2008-07-23,73.95,74.25,71.67,72.42,9295800,61.93
2008-07-22,75.13,75.87,73.75,74.98,12434000,64.12
2008-07-21,71.38,73.64,70.55,73.23,10184800,62.62
2008-07-18,72.07,72.13,70.37,70.89,7693400,60.62
2008-07-17,69.95,72.15,69.95,71.83,9091200,61.42
2008-07-16,67.11,70.74,66.53,70.53,10684300,59.95
2008-07-15,68.97,69.25,65.85,67.04,11041700,56.98
2008-07-14,70.79,70.79,68.95,69.67,6405900,59.22
2008-07-11,67.51,70.61,67.00,69.81,11521800,59.34
2008-07-10,68.52,68.99,66.68,68.42,9874200,58.16
2008-07-09,70.32,70.78,68.33,68.43,7059100,58.17
2008-07-08,71.02,71.44,68.76,69.51,10497600,59.08
2008-07-07,70.72,71.75,70.00,70.81,11684900,60.19
2008-07-03,70.03,70.75,68.93,70.31,7280100,59.76
2008-07-02,74.01,74.19,70.34,70.42,11513100,59.86
2008-07-01,72.98,74.21,72.09,74.09,9203000,62.98
2008-06-30,73.76,74.26,72.56,73.82,6650600,62.75
2008-06-27,74.18,74.85,72.69,73.75,11011800,62.69
2008-06-26,75.17,75.82,73.89,74.28,14485800,63.14
2008-06-25,77.08,77.42,76.00,76.58,8075200,65.09
2008-06-24,79.54,79.68,76.58,76.64,13075000,65.14
2008-06-23,79.42,80.24,79.11,80.00,6140900,68.00
2008-06-20,79.00,79.64,78.52,79.08,9064400,67.22
2008-06-19,79.57,80.34,78.73,79.48,6049100,67.56
2008-06-18,80.34,80.75,79.47,79.70,5739200,67.75
2008-06-17,81.48,81.58,80.61,80.69,4516000,68.59
2008-06-16,81.38,81.51,80.55,80.91,4537700,68.77
2008-06-13,80.87,82.35,80.65,81.50,5732500,69.28
2008-06-12,79.54,81.79,79.54,80.50,8053500,68.43
2008-06-11,79.85,80.11,78.52,78.93,9400100,67.09
2008-06-10,80.30,81.04,79.83,80.10,5986000,68.09
2008-06-09,80.07,81.06,79.66,80.81,5828900,68.69
2008-06-06,81.88,82.26,79.99,79.99,9444800,67.99
2008-06-05,81.87,82.80,81.00,82.73,6968200,70.32
2008-06-04,82.35,83.65,82.00,82.46,5724100,70.09
2008-06-03,82.72,83.30,81.66,82.42,4960200,70.06
2008-06-02,82.44,83.12,81.79,82.33,5882900,69.98
2008-05-30,83.19,83.19,82.23,82.64,4921700,70.24
2008-05-29,83.20,83.91,82.59,82.78,4195900,70.36
2008-05-28,82.33,83.37,82.11,83.19,4773700,70.71
2008-05-27,81.43,82.23,80.84,81.95,4871400,69.66
2008-05-23,81.96,82.99,80.60,81.55,5674900,69.32
2008-05-22,83.65,83.72,81.94,82.22,5026900,69.89
2008-05-21,83.83,85.74,83.04,83.40,7220200,70.89
2008-05-20,83.92,84.05,82.75,83.84,5570300,71.26
2008-05-19,83.90,85.96,83.63,84.28,6906700,71.64
2008-05-16,83.77,83.97,82.59,83.70,5242000,71.15
2008-05-15,82.76,84.14,82.40,83.50,4633300,70.98
2008-05-14,83.04,84.10,82.17,82.75,6859800,70.34
2008-05-13,84.21,84.50,82.70,84.07,4592000,71.46
2008-05-12,82.23,84.22,81.71,83.82,5167200,71.25
2008-05-09,81.97,82.39,81.33,81.76,3818900,69.50
2008-05-08,82.10,82.73,81.51,82.42,3065500,70.06
2008-05-07,82.75,83.64,81.47,81.63,4932000,69.39
2008-05-06,81.78,83.49,81.78,83.23,4163100,70.75
2008-05-05,83.03,83.03,82.00,82.75,3944500,70.34
2008-05-02,83.29,83.64,82.12,82.80,4511400,70.38
2008-05-01,81.92,82.67,80.55,82.35,5369900,70.00
2008-04-30,82.35,83.31,81.65,81.88,6032000,69.60
2008-04-29,82.76,83.09,81.40,81.51,4509500,69.28
2008-04-28,82.60,83.60,82.30,83.03,4683900,70.58
2008-04-25,82.53,82.89,81.21,82.25,4084500,69.91
2008-04-24,81.68,82.50,80.52,81.82,5305700,69.55
2008-04-23,82.50,82.77,81.37,81.69,4773400,69.44
2008-04-22,83.14,83.34,81.35,82.01,5720100,69.71
2008-04-21,83.89,84.45,82.05,83.33,9813300,70.83
2008-04-18,81.03,85.45,81.00,85.28,20117900,72.49
2008-04-17,77.85,80.00,77.61,78.59,9966100,66.80
2008-04-16,76.75,79.17,76.52,79.02,7640200,66.86
2008-04-15,76.09,76.75,74.91,75.95,5458400,64.26
2008-04-14,74.79,76.02,74.70,75.54,4447000,63.92
2008-04-11,75.12,75.85,74.38,74.80,9044900,63.29
2008-04-10,76.02,76.93,75.50,75.71,6994500,64.06
2008-04-09,77.74,77.74,75.65,76.16,4582900,64.44
2008-04-08,76.85,77.92,76.47,77.59,4019000,65.65
2008-04-07,78.25,78.45,76.97,77.25,5320900,65.36
2008-04-04,76.86,78.57,76.85,77.83,4885200,65.85
2008-04-03,78.19,78.36,76.78,77.07,7971500,65.21
2008-04-02,79.85,79.98,78.09,78.51,8160000,66.43
2008-04-01,78.89,79.99,78.79,79.98,9342800,67.67
2008-03-31,77.00,78.63,77.00,78.29,6068700,66.24
2008-03-28,77.37,78.00,76.44,77.09,4421300,65.23
2008-03-27,77.68,78.00,76.71,77.03,7068200,65.18
2008-03-26,76.04,77.61,75.87,77.36,7498900,65.46
2008-03-25,76.39,76.94,75.32,76.64,5211600,64.85
2008-03-24,74.06,76.50,74.06,76.03,5374000,64.33
2008-03-20,74.11,74.28,72.80,73.82,9254000,62.46
2008-03-19,76.62,77.00,73.73,73.73,7377400,62.39
2008-03-18,75.72,76.87,74.63,76.87,9404400,65.04
2008-03-17,72.87,75.22,72.51,74.46,8913600,63.00
2008-03-14,76.50,76.80,73.48,74.79,8571100,63.28
