Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,16.18,16.55,16.12,16.30,37513700,15.10
2008-12-30,16.04,16.25,15.94,16.23,31088100,15.04
2008-12-29,16.16,16.25,15.73,16.01,33239800,14.83
2008-12-26,16.36,16.42,16.09,16.27,15163400,15.08
2008-12-24,16.25,16.43,16.21,16.35,11592100,15.15
2008-12-23,16.42,16.65,16.07,16.24,30390900,15.05
2008-12-22,16.61,16.71,15.99,16.37,38808800,15.17
2008-12-19,16.64,16.95,16.60,16.64,62204500,15.42
2008-12-18,16.87,16.91,16.44,16.66,52399400,15.44
2008-12-17,17.17,17.34,16.71,16.84,62795800,15.60
2008-12-16,17.04,17.45,16.69,17.42,77761400,16.14
2008-12-15,16.88,17.02,16.51,16.84,40172200,15.60
2008-12-12,16.53,17.19,16.51,16.99,47006400,15.74
2008-12-11,17.13,17.64,16.83,16.91,56266400,15.67
2008-12-10,17.30,17.76,17.08,17.33,50807000,16.06
2008-12-09,16.91,17.93,16.75,17.16,67340200,15.90
2008-12-08,16.50,17.45,16.45,17.25,82284800,15.98
2008-12-05,15.16,16.10,14.72,15.94,67565800,14.77
2008-12-04,15.65,16.09,15.02,15.33,59171400,14.20
2008-12-03,14.91,16.03,14.86,16.01,69603400,14.83
2008-12-02,15.17,15.39,14.75,15.32,65674100,14.20
2008-12-01,16.16,16.17,14.93,14.96,62915800,13.86
2008-11-28,16.19,16.55,16.16,16.54,22344900,15.33
2008-11-26,15.20,16.49,15.17,16.39,54903300,15.19
2008-11-25,16.49,16.49,15.28,15.42,82904500,14.29
2008-11-24,15.44,16.46,15.28,16.40,79847400,15.20
2008-11-21,14.81,15.30,14.20,15.17,104235300,14.06
2008-11-20,15.00,16.23,14.43,14.47,119455700,13.41
2008-11-19,16.18,16.23,15.00,15.08,72602300,13.97
2008-11-18,16.35,16.46,15.58,16.45,69149800,15.24
2008-11-17,16.47,16.81,16.11,16.21,47052200,15.02
2008-11-14,16.89,17.43,16.33,16.62,68825700,15.40
2008-11-13,16.37,17.30,15.60,17.26,90296200,15.99
2008-11-12,16.84,17.03,16.50,16.55,52608100,15.34
2008-11-11,17.38,17.45,16.94,17.18,49766000,15.92
2008-11-10,17.95,17.98,17.10,17.57,47597100,16.28
2008-11-07,17.18,17.73,17.13,17.58,64669200,16.29
2008-11-06,16.69,17.48,16.67,16.94,122484300,15.70
2008-11-05,18.05,18.30,17.29,17.39,91260100,16.11
2008-11-04,17.59,18.46,17.37,18.33,79952200,16.98
2008-11-03,17.68,17.70,17.00,17.20,56927000,15.94
2008-10-31,17.79,17.98,17.32,17.77,82517500,16.47
2008-10-30,18.29,18.32,17.50,17.79,67607100,16.48
2008-10-29,17.97,18.70,17.60,17.87,72619800,16.56
2008-10-28,16.76,18.35,16.45,18.31,88690300,16.97
2008-10-27,16.09,17.19,16.02,16.09,65715900,14.91
2008-10-24,16.08,16.93,15.90,16.31,88646000,15.11
2008-10-23,17.25,17.88,16.46,17.24,85364300,15.97
2008-10-22,17.34,17.84,16.81,17.41,75828000,16.13
2008-10-21,18.70,18.89,17.75,17.86,75117600,16.55
2008-10-20,18.35,19.01,17.81,18.96,66688900,17.57
2008-10-17,17.32,19.55,16.93,17.91,83475500,16.60
2008-10-16,16.72,17.75,16.20,17.75,104415000,16.45
2008-10-15,18.17,18.21,16.50,16.57,94666400,15.35
2008-10-14,19.91,20.15,18.03,18.54,86420900,17.18
2008-10-13,18.27,19.30,17.80,19.27,72700100,17.86
2008-10-10,16.49,18.22,16.29,17.23,137032200,15.97
2008-10-09,18.83,18.89,16.94,17.19,99112600,15.93
2008-10-08,18.02,19.60,17.80,18.34,130018800,16.99
