Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,24.98,25.39,24.75,25.30,8019300,20.61
2008-12-30,24.71,25.27,24.59,25.11,6639700,20.46
2008-12-29,24.95,25.05,23.98,24.49,5139400,19.95
2008-12-26,24.90,25.02,24.60,24.98,2693700,20.35
2008-12-24,24.61,24.98,24.55,24.76,2453100,20.17
2008-12-23,25.12,25.64,24.40,24.50,6869800,19.96
2008-12-22,25.29,25.53,24.39,24.99,8529700,20.36
2008-12-19,25.60,26.82,25.22,25.60,15113500,20.86
2008-12-18,27.25,27.45,25.53,25.71,9795200,20.95
2008-12-17,27.17,27.90,26.90,27.11,8242800,22.09
2008-12-16,26.42,27.64,26.22,27.59,10103000,22.48
2008-12-15,26.86,27.10,25.65,26.17,7269000,21.32
2008-12-12,25.50,26.75,25.06,26.61,8748200,21.68
2008-12-11,26.29,27.08,25.70,25.94,9020000,21.13
2008-12-10,27.05,27.10,26.01,26.55,8753500,21.63
2008-12-09,26.04,27.10,25.75,26.38,13227500,21.49
2008-12-08,24.86,26.53,24.61,26.34,13127700,21.46
2008-12-05,23.22,24.24,22.50,24.12,12696800,19.65
2008-12-04,22.35,24.54,22.31,23.69,16201300,19.30
2008-12-03,23.03,23.79,22.50,23.61,12703900,19.23
2008-12-02,22.62,23.68,22.26,23.60,13186000,19.23
2008-12-01,24.62,24.65,22.16,22.22,12977000,18.10
2008-11-28,24.54,25.06,24.27,25.06,3853500,20.42
2008-11-26,23.77,24.74,23.25,24.63,10929600,20.07
2008-11-25,24.66,24.82,23.16,24.13,14256200,19.66
2008-11-24,23.59,24.77,23.21,24.29,16849500,19.79
2008-11-21,22.47,23.25,21.32,23.03,24181600,18.76
2008-11-20,24.00,24.55,21.75,21.95,20928000,17.88
2008-11-19,26.68,27.40,24.08,24.26,15471700,19.76
2008-11-18,26.70,27.45,26.01,26.92,9932900,21.93
2008-11-17,26.63,28.11,26.63,26.96,8505900,21.96
2008-11-14,29.02,29.35,27.28,27.43,9203800,22.35
2008-11-13,27.64,29.43,26.08,29.29,14679600,23.86
2008-11-12,28.25,28.36,27.16,27.21,8712500,22.17
2008-11-11,29.52,29.89,28.45,28.76,8450500,23.10
2008-11-10,31.17,31.72,29.70,30.10,6333000,24.17
2008-11-07,29.22,30.54,28.90,30.46,8050300,24.46
2008-11-06,30.59,31.12,28.84,29.01,10640900,23.30
2008-11-05,32.93,33.06,30.48,30.86,8211400,24.78
2008-11-04,32.94,33.29,32.27,33.23,7505900,26.69
2008-11-03,32.00,32.76,31.65,32.03,4713600,25.72
2008-10-31,31.63,32.70,31.38,32.04,8154600,25.73
2008-10-30,32.37,32.56,30.76,32.04,7695000,25.73
2008-10-29,30.56,32.84,30.00,31.52,11287400,25.31
2008-10-28,28.59,30.87,27.53,30.73,12946900,24.68
2008-10-27,28.93,29.93,27.76,27.80,12224900,22.32
2008-10-24,29.49,30.72,29.05,29.33,13512500,23.55
2008-10-23,32.25,32.65,30.02,31.49,12850200,25.29
2008-10-22,32.79,33.10,30.77,31.50,12452500,25.30
2008-10-21,34.75,35.47,33.26,33.28,10280600,26.73
2008-10-20,34.22,36.17,33.64,36.17,7661900,29.05
2008-10-17,33.04,35.29,32.58,33.77,10822400,27.12
2008-10-16,33.24,33.98,31.36,33.85,16291300,27.18
2008-10-15,35.36,35.45,31.92,32.20,10234100,25.86
2008-10-14,39.17,39.18,35.36,36.19,12505600,29.06
2008-10-13,34.15,37.57,33.75,37.23,13166900,29.90
2008-10-10,31.34,35.77,30.81,33.40,20775400,26.82
2008-10-09,36.35,37.43,33.76,33.76,12685400,27.11
2008-10-08,35.35,39.36,35.19,36.12,14708400,29.01
2008-10-07,37.77,38.64,36.00,36.10,13305700,28.99
2008-10-06,38.05,38.34,35.87,37.46,13288800,30.08
2008-10-03,39.43,40.68,38.70,38.80,10969900,31.16
2008-10-02,40.31,40.61,38.71,38.79,10338200,31.15
2008-10-01,40.00,41.15,39.86,40.47,8468900,32.50
2008-09-30,40.51,40.71,39.90,40.30,12393400,32.36
2008-09-29,41.35,41.93,39.45,39.45,12894400,31.68
2008-09-26,41.88,42.31,41.29,41.99,8679500,33.72
2008-09-25,43.90,44.00,42.49,42.61,9723400,34.22
2008-09-24,44.89,44.99,43.42,43.74,7738500,35.13
2008-09-23,45.29,45.91,44.49,44.69,6949400,35.89
2008-09-22,47.64,47.75,45.17,45.39,8158400,36.45
2008-09-19,46.21,48.22,45.40,48.04,13027500,38.58
2008-09-18,45.36,46.70,43.82,45.94,13213000,36.89
2008-09-17,45.33,46.19,44.26,45.70,13003700,36.70
2008-09-16,44.21,46.29,44.02,46.27,11293400,37.16
2008-09-15,44.81,46.85,44.74,44.74,8802400,35.93
2008-09-12,45.50,46.44,45.00,46.39,7530800,37.25
2008-09-11,43.99,45.48,43.75,45.44,7560400,36.49
2008-09-10,44.59,44.96,44.07,44.36,7439200,35.62
2008-09-09,45.25,45.62,44.35,44.35,8115300,35.62
2008-09-08,45.12,45.50,44.63,45.26,6975300,36.35
2008-09-05,43.68,44.49,43.24,44.25,6762400,35.54
2008-09-04,44.76,44.76,43.68,44.00,7591700,35.33
2008-09-03,45.75,45.75,44.37,45.01,5572900,36.15
2008-09-02,45.05,46.60,45.05,45.31,7406500,36.39
2008-08-29,45.03,45.33,44.43,44.44,3546100,35.69
2008-08-28,44.58,45.44,44.45,45.27,3937200,36.35
2008-08-27,44.09,44.57,43.75,44.34,2951400,35.61
2008-08-26,43.73,44.48,43.50,43.89,3753700,35.25
2008-08-25,44.78,44.80,43.42,43.68,4238200,35.08
2008-08-22,44.35,45.08,44.25,44.79,2873200,35.97
2008-08-21,43.75,44.43,43.27,44.16,3079800,35.46
2008-08-20,44.15,44.30,43.52,44.02,4296400,35.35
2008-08-19,44.55,44.78,44.07,44.23,3881600,35.52
2008-08-18,45.75,46.00,44.46,44.74,5331600,35.93
2008-08-15,45.31,45.87,45.23,45.70,5185900,36.70
2008-08-14,44.89,45.68,44.35,45.24,4908000,36.33
2008-08-13,45.54,45.56,44.57,45.14,6820600,36.25
2008-08-12,46.04,46.53,45.65,45.79,5505500,36.44
2008-08-11,45.33,46.66,44.75,46.38,7882800,36.91
2008-08-08,43.36,45.46,43.16,45.31,7141800,36.06
2008-08-07,43.72,44.12,43.33,43.36,5993400,34.51
2008-08-06,43.84,44.49,43.46,44.01,4626100,35.03
2008-08-05,42.31,43.97,42.31,43.93,8180200,34.96
2008-08-04,43.35,43.48,42.11,42.16,5477400,33.55
2008-08-01,43.80,44.14,43.22,43.31,4876800,34.47
2008-07-31,44.02,44.81,43.69,43.81,6508600,34.87
2008-07-30,43.72,44.48,43.63,44.27,6166300,35.23
2008-07-29,42.86,43.74,42.80,43.56,5896400,34.67
2008-07-28,43.74,43.77,42.83,42.89,4992700,34.13
2008-07-25,44.61,44.64,43.60,43.81,6531200,34.87
2008-07-24,45.02,45.50,44.05,44.17,7959500,35.15
2008-07-23,45.75,45.75,44.87,45.02,8014600,35.83
2008-07-22,44.33,45.44,44.20,45.21,8785600,35.98
2008-07-21,44.50,44.50,43.52,44.05,7664600,35.06
2008-07-18,44.57,44.81,43.71,44.20,10000200,35.18
2008-07-17,42.27,44.05,42.00,43.93,11400700,34.96
2008-07-16,41.16,42.18,40.45,42.13,8528100,33.53
2008-07-15,40.50,41.82,40.43,41.16,8517500,32.76
2008-07-14,41.85,41.94,40.70,40.98,6610000,32.61
2008-07-11,41.44,41.64,40.54,41.47,8891400,33.00
2008-07-10,41.06,42.10,40.99,41.51,10062100,33.04
2008-07-09,42.02,42.23,40.87,40.92,6157300,32.57
2008-07-08,41.47,41.95,40.95,41.89,8096600,33.34
2008-07-07,42.14,42.33,41.10,41.52,8545600,33.04
2008-07-03,41.60,42.27,41.06,41.80,5786700,33.27
2008-07-02,42.90,43.20,41.63,41.65,8938100,33.15
2008-07-01,42.43,42.76,41.92,42.64,9007300,33.94
2008-06-30,42.86,43.31,42.58,42.89,7596400,34.13
2008-06-27,42.82,42.84,42.36,42.69,9967400,33.98
2008-06-26,43.70,43.94,42.82,42.82,7265600,34.08
2008-06-25,44.10,44.39,43.63,44.11,10196400,35.11
2008-06-24,45.30,45.48,43.87,43.96,10871600,34.99
2008-06-23,46.52,46.79,45.45,45.47,6334200,36.19
2008-06-20,47.25,47.32,46.09,46.23,11173100,36.79
2008-06-19,46.50,47.70,46.45,47.40,6453700,37.72
2008-06-18,46.94,47.48,46.28,46.62,5525800,37.10
2008-06-17,47.28,47.80,47.07,47.15,5791900,37.52
2008-06-16,47.04,47.39,46.50,47.13,6659500,37.51
2008-06-13,46.52,47.47,46.52,47.20,5338500,37.56
2008-06-12,46.10,46.88,46.00,46.31,6403500,36.86
2008-06-11,45.68,46.66,45.53,45.89,7698500,36.52
2008-06-10,45.97,46.04,45.17,45.72,8696300,36.39
2008-06-09,46.91,46.91,45.89,46.21,6183400,36.78
2008-06-06,47.24,47.31,46.30,46.32,7246000,36.86
2008-06-05,46.85,47.80,46.54,47.73,6509700,37.99
2008-06-04,46.56,47.17,46.44,46.77,5909200,37.22
2008-06-03,47.11,47.56,46.23,46.64,6251900,37.12
2008-06-02,47.82,47.82,46.78,47.04,5432800,37.44
2008-05-30,47.86,48.43,47.82,47.91,4339000,38.13
2008-05-29,47.64,48.26,47.25,47.80,4277600,38.04
