Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,22.57,22.95,22.52,22.69,9012100,21.23
2008-12-30,21.48,22.50,21.38,22.48,11105200,21.03
2008-12-29,22.15,22.15,21.15,21.47,7411700,20.09
2008-12-26,22.29,22.42,21.96,22.18,3069100,20.75
2008-12-24,21.91,22.21,21.79,21.99,3507200,20.58
2008-12-23,22.18,22.50,21.76,21.85,9381100,20.44
2008-12-22,22.41,22.53,21.28,21.93,12596900,20.52
2008-12-19,23.00,23.20,22.18,22.43,21133800,20.99
2008-12-18,23.67,23.90,22.50,22.83,18351500,21.36
2008-12-17,23.57,23.94,23.14,23.58,14715400,22.06
2008-12-16,23.04,24.17,22.57,23.78,22276500,22.25
2008-12-15,22.93,22.98,22.34,22.77,12908800,21.30
2008-12-12,22.12,22.86,21.93,22.61,15025300,21.16
2008-12-11,23.41,23.66,22.58,22.82,14827300,21.35
2008-12-10,23.85,24.20,23.30,23.70,16276200,21.85
2008-12-09,24.08,24.88,23.32,23.53,26341900,21.69
2008-12-08,23.00,26.10,22.91,24.92,34087700,22.97
2008-12-05,21.51,22.84,20.87,22.77,17945000,20.99
2008-12-04,21.54,22.56,21.46,21.79,17198700,20.09
2008-12-03,20.60,22.00,20.57,21.94,16331800,20.23
2008-12-02,20.65,21.55,20.30,21.46,20051200,19.78
2008-12-01,22.04,22.13,20.27,20.33,17969200,18.74
2008-11-28,22.42,22.54,21.82,22.52,7577100,20.76
2008-11-26,21.30,22.77,20.94,22.50,13904000,20.74
2008-11-25,22.30,22.68,21.30,22.03,20331500,20.31
2008-11-24,21.36,22.91,20.60,22.20,24042800,20.46
2008-11-21,19.24,21.13,18.78,21.12,28131800,19.47
2008-11-20,19.59,20.15,18.60,18.73,26921200,17.27
2008-11-19,20.56,21.03,19.93,19.94,22433000,18.38
2008-11-18,19.92,20.98,19.86,20.67,21954000,19.05
2008-11-17,20.08,20.74,19.58,19.74,20652300,18.20
2008-11-14,21.14,22.39,20.94,21.08,16888600,19.43
2008-11-13,20.30,21.75,19.58,21.65,24066200,19.96
2008-11-12,21.36,21.71,20.03,20.16,21258600,18.58
2008-11-11,21.77,22.41,20.49,21.78,23171800,20.08
2008-11-10,23.90,23.90,21.66,22.08,16363000,20.35
2008-11-07,21.55,24.20,21.41,23.36,28705700,21.53
2008-11-06,24.13,24.27,22.32,22.81,23027700,21.03
2008-11-05,25.91,25.97,24.10,24.23,15063300,22.34
2008-11-04,25.29,26.24,25.29,26.02,16761900,23.99
2008-11-03,25.85,25.85,24.19,25.04,19742300,23.08
2008-10-31,25.02,26.47,24.94,25.91,17466700,23.88
2008-10-30,24.92,25.55,24.17,25.33,14182600,23.35
2008-10-29,23.75,25.40,23.50,23.97,17071300,22.10
2008-10-28,21.99,24.23,21.52,23.91,21845500,22.04
2008-10-27,22.02,22.55,21.36,21.37,15081300,19.70
2008-10-24,21.74,23.20,21.50,22.61,16247600,20.84
2008-10-23,22.94,23.64,21.89,23.40,17445800,21.57
2008-10-22,24.68,24.68,22.32,23.05,20567900,21.25
2008-10-21,26.10,26.18,25.09,25.31,14680800,23.33
2008-10-20,24.96,26.55,24.59,26.55,14070800,24.47
2008-10-17,23.69,25.85,23.44,24.75,17985900,22.82
2008-10-16,23.37,24.60,22.07,24.27,21418200,22.37
2008-10-15,25.11,25.23,23.28,23.37,18089100,21.54
2008-10-14,27.96,28.00,25.04,25.68,20214300,23.67
2008-10-13,23.71,26.84,23.50,26.72,20772800,24.63
2008-10-10,22.59,24.42,21.25,23.04,37801900,21.24
2008-10-09,25.62,26.29,23.75,23.80,24391800,21.94
2008-10-08,25.51,27.12,24.93,25.68,28972100,23.67
2008-10-07,27.81,28.35,26.21,26.57,27859500,24.49
2008-10-06,28.84,29.03,26.30,28.26,35803300,26.05
2008-10-03,30.17,31.06,29.46,29.54,17468400,27.23
2008-10-02,30.42,30.81,29.90,29.96,11783300,27.62
2008-10-01,30.30,30.80,29.91,30.68,11020900,28.28
2008-09-30,30.34,30.85,29.48,30.69,16589100,28.29
2008-09-29,32.20,32.95,29.25,29.73,26696900,27.41
2008-09-26,31.94,32.81,31.94,32.75,9546400,30.19
2008-09-25,32.00,32.88,31.97,32.47,13356400,29.93
2008-09-24,32.59,32.59,31.63,31.77,13600300,29.29
2008-09-23,32.88,33.32,32.15,32.53,13450900,29.99
2008-09-22,33.85,34.05,32.84,32.91,18394300,30.34
2008-09-19,34.01,34.85,33.25,34.39,28430600,31.70
2008-09-18,32.25,33.74,32.06,33.44,22442900,30.83
2008-09-17,32.10,33.00,31.91,32.19,22284700,29.67
2008-09-16,31.74,32.89,31.50,32.51,18550900,29.97
2008-09-15,32.59,33.29,32.25,32.36,15191900,29.83
2008-09-12,32.77,33.45,32.60,33.26,11213500,30.66
2008-09-11,32.59,33.00,32.20,32.94,14011700,30.37
2008-09-10,32.60,33.23,32.48,32.77,13883700,30.21
2008-09-09,32.87,33.30,32.43,32.43,15312400,29.90
2008-09-08,31.99,33.05,31.92,32.92,20362900,30.35
2008-09-05,31.45,31.55,30.87,31.36,9012200,28.91
2008-09-04,32.44,32.44,31.49,31.54,11444300,29.07
2008-09-03,32.32,32.54,31.97,32.51,9554000,29.97
2008-09-02,32.74,33.37,32.30,32.44,11843700,29.90
2008-08-29,32.37,32.75,32.31,32.35,9062800,29.82
2008-08-28,31.89,32.67,31.77,32.59,9675200,30.04
2008-08-27,31.46,32.10,31.41,31.76,7317600,29.28
2008-08-26,31.52,31.87,31.44,31.71,6506600,29.23
2008-08-25,31.97,32.09,31.40,31.60,8071300,29.13
2008-08-22,32.12,32.38,31.88,32.20,7954900,29.68
2008-08-21,31.65,32.00,31.32,31.83,6966700,29.34
2008-08-20,31.86,32.20,31.40,31.82,12415000,29.33
2008-08-19,31.84,32.06,31.58,31.75,8781900,29.27
2008-08-18,32.54,32.60,31.81,32.08,10246000,29.57
2008-08-15,32.47,32.92,32.34,32.50,11487700,29.96
2008-08-14,31.67,32.62,31.45,32.33,11535200,29.80
2008-08-13,32.12,32.20,31.52,31.74,11051300,29.26
