Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,15.82,16.34,15.77,16.20,60298400,13.41
2008-12-30,15.80,15.85,15.55,15.82,58410400,13.10
2008-12-29,15.95,16.00,15.35,15.66,55903000,12.96
2008-12-26,16.05,16.13,15.78,15.97,29673500,13.22
2008-12-24,16.10,16.23,15.92,16.11,23390900,13.34
2008-12-23,16.27,16.50,16.18,16.43,65147900,13.34
2008-12-22,16.56,16.63,15.75,16.07,72543200,13.05
2008-12-19,16.16,16.55,16.00,16.50,136313400,13.40
2008-12-18,17.54,17.56,15.77,15.96,153634400,12.96
2008-12-17,17.62,17.79,17.12,17.39,100986600,14.12
2008-12-16,17.13,18.13,17.01,17.92,118802500,14.56
2008-12-15,16.95,17.11,16.66,16.95,63729200,13.77
2008-12-12,16.60,17.29,16.40,17.11,72073600,13.90
2008-12-11,17.40,17.61,16.99,17.05,80597400,13.85
2008-12-10,18.03,18.45,17.67,18.00,76936200,14.62
2008-12-09,18.28,18.66,17.59,17.78,110700000,14.44
2008-12-08,18.42,19.30,18.35,18.88,131411900,15.33
2008-12-05,17.38,18.30,16.98,17.85,107208700,14.50
2008-12-04,17.83,18.21,17.12,17.55,112136200,14.25
2008-12-03,17.07,18.27,16.86,18.13,157206000,14.73
2008-12-02,16.14,17.79,15.77,17.61,219088200,14.30
2008-12-01,16.36,16.38,15.42,15.50,104553500,12.59
2008-11-28,16.37,17.19,16.20,17.17,59008100,13.95
2008-11-26,15.44,16.25,15.20,16.19,82835900,13.15
2008-11-25,15.94,16.08,15.09,15.77,122283000,12.81
2008-11-24,14.63,15.91,14.26,15.26,159213800,12.39
2008-11-21,13.56,14.06,12.80,14.03,172470200,11.40
2008-11-20,14.10,14.45,12.58,12.84,235124300,10.43
2008-11-19,15.87,16.20,14.45,14.45,181540200,11.74
2008-11-18,16.03,16.35,15.27,16.06,135118000,13.04
2008-11-17,15.95,16.50,15.40,16.11,97462100,13.09
2008-11-14,16.36,17.09,15.95,16.02,128296200,13.01
2008-11-13,16.41,16.93,14.58,16.86,300885200,13.69
2008-11-12,17.48,17.55,16.05,16.29,177128900,13.23
2008-11-11,18.27,18.30,17.36,17.81,104019300,14.47
2008-11-10,19.34,19.39,18.10,18.45,80927900,14.99
2008-11-07,18.62,19.10,18.28,18.86,78974300,15.32
2008-11-06,19.75,19.75,18.00,18.34,127357500,14.90
2008-11-05,20.69,20.98,19.80,19.93,87070900,16.19
2008-11-04,19.83,21.04,19.75,20.77,116859000,16.87
2008-11-03,19.78,19.88,19.20,19.30,56409600,15.68
2008-10-31,19.27,19.80,19.12,19.51,91933200,15.85
2008-10-30,19.79,19.97,18.93,19.35,91667900,15.72
2008-10-29,19.54,20.00,18.70,19.20,137167100,15.59
2008-10-28,18.37,19.60,17.73,19.49,139577500,15.83
2008-10-27,18.04,18.85,17.52,17.73,120732600,14.40
2008-10-24,17.46,18.23,17.27,17.83,129087500,14.48
2008-10-23,19.24,19.24,17.97,18.80,153260500,15.27
2008-10-22,20.04,20.20,18.50,18.96,118266200,15.40
2008-10-21,19.93,21.03,19.90,20.35,102884300,16.53
2008-10-20,20.26,20.37,19.43,20.14,94589400,16.36
2008-10-17,19.35,20.53,19.00,19.63,124568500,15.94
2008-10-16,19.51,19.96,18.31,19.89,151082500,16.16
2008-10-15,20.46,20.66,19.05,19.25,114541800,15.64
2008-10-14,22.31,22.39,19.75,20.85,153145300,16.94
2008-10-13,22.27,22.33,20.35,21.00,142320600,17.06
2008-10-10,18.70,21.50,18.40,21.50,275210200,17.46
2008-10-09,21.40,21.62,19.00,19.01,157121700,15.44
2008-10-08,20.02,21.99,19.90,20.65,138778200,16.77
2008-10-07,22.28,22.65,20.19,20.30,158017200,16.49
2008-10-06,20.54,21.87,19.69,21.38,184559000,17.37
2008-10-03,22.70,23.00,21.49,21.57,214866700,17.52
2008-10-02,22.83,22.89,22.01,22.15,519738000,17.99
2008-10-01,24.00,25.75,21.65,24.50,181916700,19.90
2008-09-30,23.87,26.05,23.87,25.50,75973500,20.71
2008-09-29,25.12,25.64,23.10,23.10,76669800,18.76
