Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,23.14,23.80,22.97,23.02,15143500,19.89
2008-12-30,23.50,23.69,22.69,23.11,14896900,19.97
2008-12-29,23.54,23.70,23.00,23.36,8461500,20.18
2008-12-26,23.61,24.00,23.41,23.56,4461200,20.36
2008-12-24,23.69,24.11,23.62,23.73,3976000,20.50
2008-12-23,23.59,23.99,23.49,23.62,13559600,20.41
2008-12-22,24.09,24.13,23.16,23.73,13244400,20.50
2008-12-19,24.82,25.00,23.83,24.22,23095200,20.93
2008-12-18,24.80,25.07,24.05,24.45,22105800,21.12
2008-12-17,24.01,25.11,23.90,24.70,20068300,21.34
2008-12-16,23.73,24.59,22.88,24.32,26188100,21.01
2008-12-15,23.62,23.87,23.04,23.41,14736800,20.23
2008-12-12,22.31,23.72,22.16,23.47,20831300,20.28
2008-12-11,23.87,24.13,22.80,22.99,18390900,19.86
2008-12-10,23.39,24.43,23.01,24.29,18719700,20.99
2008-12-09,23.89,24.74,22.85,23.20,26321100,20.04
2008-12-08,24.97,25.19,24.05,24.25,28815400,20.95
2008-12-05,22.83,24.54,22.70,24.40,32975900,21.08
2008-12-04,22.47,24.32,22.28,23.22,30083600,20.06
2008-12-03,21.32,22.88,21.06,22.76,32948500,19.66
2008-12-02,21.52,21.95,20.65,21.85,23835800,18.88
2008-12-01,22.55,23.00,21.13,21.21,26816900,18.13
2008-11-28,23.41,23.79,22.73,23.11,10272300,19.76
2008-11-26,21.55,23.78,21.55,23.55,25401900,20.13
2008-11-25,21.63,22.45,21.20,22.25,31618500,19.02
2008-11-24,19.62,21.91,18.86,21.42,31820400,18.31
2008-11-21,18.82,19.34,17.46,19.29,38361300,16.49
2008-11-20,19.44,20.29,18.31,18.52,32825000,15.83
2008-11-19,20.48,21.26,19.60,19.76,21970500,16.89
2008-11-18,20.66,21.42,19.94,20.71,32638500,17.70
2008-11-17,19.92,20.99,19.74,20.00,22643100,17.10
