Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,92.17,92.22,91.15,91.59,6348200,90.94
2013-12-30,92.16,92.30,91.73,92.30,4370100,91.64
2013-12-27,92.77,92.96,92.18,92.35,3511300,91.69
2013-12-26,91.99,92.54,91.77,92.54,3459100,91.88
2013-12-24,92.18,92.39,91.85,92.06,3147300,91.40
2013-12-23,92.56,92.68,91.76,92.03,5312200,91.37
2013-12-20,91.95,92.75,91.95,92.09,11265000,91.43
2013-12-19,92.40,92.40,91.42,91.98,7341000,91.32
2013-12-18,90.95,92.66,89.77,92.64,9691100,91.98
2013-12-17,91.30,91.33,90.50,90.66,8794000,90.01
2013-12-16,91.42,92.32,91.16,91.37,6623000,90.72
2013-12-13,91.46,91.86,91.08,91.35,7909000,90.70
2013-12-12,92.84,92.86,91.07,91.16,12285700,90.51
2013-12-11,94.40,94.45,93.03,93.11,9424300,92.44
2013-12-10,94.58,94.79,93.96,94.14,7576600,93.47
2013-12-09,94.30,94.48,93.70,94.44,6974500,93.77
2013-12-06,93.60,94.48,93.42,94.44,7280400,93.77
2013-12-05,93.42,93.63,92.66,92.97,8666200,92.31
2013-12-04,93.76,94.25,93.13,93.63,6218500,92.96
2013-12-03,94.20,94.56,93.51,93.97,9061100,93.30
2013-12-02,94.41,94.66,93.97,94.28,5827400,93.61
2013-11-29,95.23,95.50,94.43,94.66,4106800,93.98
2013-11-27,95.34,95.37,94.61,94.98,4603800,94.30
2013-11-26,95.58,95.87,94.97,95.06,7267600,94.38
2013-11-25,95.49,95.99,95.08,95.63,6374600,94.95
2013-11-22,94.39,95.58,94.39,95.25,6462100,94.57
2013-11-21,95.46,95.75,95.05,95.20,6896200,93.86
2013-11-20,94.94,95.47,94.66,95.15,7076500,93.82
2013-11-19,94.27,94.92,94.00,94.86,6624200,93.53
2013-11-18,94.36,94.60,94.01,94.30,8492000,92.98
2013-11-15,93.63,94.40,93.55,94.39,7063000,93.07
2013-11-14,93.40,94.14,93.40,93.92,7045700,92.60
2013-11-13,93.36,93.45,92.32,93.34,8954300,92.03
2013-11-12,93.98,94.09,93.00,93.56,7639600,92.25
2013-11-11,93.97,94.64,93.94,94.29,4723100,92.97
2013-11-08,92.63,94.10,92.56,94.05,7229500,92.73
2013-11-07,93.19,93.35,92.69,92.69,6116900,91.39
2013-11-06,93.03,93.20,92.72,93.04,5301300,91.73
2013-11-05,92.54,92.95,92.28,92.81,5350600,91.51
2013-11-04,93.46,93.50,92.43,93.03,6862500,91.73
2013-11-01,92.38,93.58,92.38,93.37,6835900,92.06
2013-10-31,92.85,93.35,92.32,92.61,7773900,91.31
2013-10-30,93.27,93.45,92.65,92.79,6295400,91.49
2013-10-29,92.80,93.18,92.58,93.14,6096700,91.83
2013-10-28,91.96,92.80,91.92,92.39,6551000,91.09
2013-10-25,92.04,92.27,91.78,92.09,6076000,90.80
2013-10-24,92.65,92.99,92.14,92.35,5251000,91.05
2013-10-23,92.07,92.43,91.52,92.10,6449600,90.81
2013-10-22,91.53,92.56,91.50,92.36,9635500,91.06
2013-10-21,91.63,91.63,90.77,91.20,6940500,89.92
2013-10-18,91.75,92.05,91.14,91.63,9082600,90.34
2013-10-17,90.87,92.00,90.77,91.97,8569600,90.68
2013-10-16,90.42,91.17,90.16,91.11,8116000,89.83
2013-10-15,90.33,91.46,89.93,89.93,11024000,88.67
2013-10-14,88.83,89.89,88.63,89.80,9198600,88.54
2013-10-11,88.62,89.48,88.02,89.45,8449800,88.20
2013-10-10,86.72,87.78,86.70,87.78,8647900,86.55
2013-10-09,85.93,86.23,85.50,85.96,8014200,84.75
2013-10-08,86.62,86.74,85.57,85.61,8669800,84.41
2013-10-07,86.70,86.98,86.29,86.59,5705200,85.38
2013-10-04,86.82,87.42,86.56,87.31,6050000,86.09
2013-10-03,87.19,87.40,86.28,86.58,7724600,85.37
2013-10-02,87.13,87.29,86.44,87.29,6383400,86.07
2013-10-01,86.59,87.49,86.26,87.47,6318700,86.24
2013-09-30,86.33,86.95,86.15,86.69,7962300,85.47
2013-09-27,86.81,86.94,86.44,86.73,5461100,85.51
2013-09-26,87.28,87.70,86.72,87.07,6400600,85.85
2013-09-25,88.42,88.47,87.07,87.08,7493200,85.86
2013-09-24,89.02,89.20,88.15,88.22,7797500,86.98
2013-09-23,89.43,89.75,88.81,89.09,7376200,87.84
2013-09-20,90.20,90.72,89.68,89.68,14708600,88.42
2013-09-19,90.05,90.20,89.79,90.07,6721000,88.81
2013-09-18,88.91,89.91,88.30,89.91,10115500,88.65
2013-09-17,89.05,89.22,88.58,89.06,6291100,87.81
2013-09-16,89.43,89.57,88.83,89.03,7563700,87.78
2013-09-13,89.13,89.25,88.20,88.57,7738600,87.33
2013-09-12,89.30,89.57,88.88,89.01,7938500,87.76
2013-09-11,88.63,89.27,88.14,89.23,8098100,87.98
2013-09-10,88.14,88.58,87.85,88.53,8658700,87.29
2013-09-09,87.39,87.60,87.01,87.56,6819700,86.33
2013-09-06,87.22,87.92,86.00,87.16,10034900,85.94
2013-09-05,87.00,87.17,86.62,87.04,5647900,85.82
2013-09-04,86.46,87.25,86.25,86.90,8458800,85.68
2013-09-03,86.89,87.30,86.03,86.42,7590500,85.21
2013-08-30,86.78,86.78,85.85,86.41,7471300,85.20
2013-08-29,86.41,87.14,85.99,86.57,5768800,85.36
2013-08-28,86.36,86.91,85.88,86.53,8829200,85.32
2013-08-27,86.97,87.08,85.96,86.17,9941200,84.96
2013-08-26,88.36,88.48,87.39,87.53,6724500,86.30
2013-08-23,87.93,88.44,87.21,88.41,7714900,87.17
2013-08-22,88.76,89.03,88.12,88.26,7191900,86.37
2013-08-21,89.47,89.63,88.68,88.80,7940700,86.90
2013-08-20,90.55,91.65,89.73,89.73,8559200,87.81
2013-08-19,89.47,91.25,89.35,90.45,8687000,88.51
2013-08-16,89.13,89.80,88.77,89.37,14100700,87.46
2013-08-15,90.32,90.41,89.09,89.55,12010700,87.63
2013-08-14,92.79,92.95,90.51,90.70,12716800,88.76
2013-08-13,91.89,93.35,91.76,93.01,10099800,91.02
2013-08-12,92.08,92.77,91.75,92.00,11012300,90.03
2013-08-09,93.39,93.39,91.78,92.36,12135800,90.38
2013-08-08,94.27,94.37,92.71,93.34,11090000,91.34
2013-08-07,93.60,94.03,93.47,93.66,9056900,91.66
2013-08-06,93.88,93.94,93.50,93.81,6415000,91.80
2013-08-05,94.05,94.30,93.43,93.80,7192400,91.79
2013-08-02,93.56,94.39,93.45,94.39,8503100,92.37
2013-08-01,94.16,94.40,93.70,93.77,11098600,91.76
2013-07-31,93.23,94.42,93.19,93.50,11365700,91.50
2013-07-30,93.47,93.97,93.02,93.17,8863000,91.18
2013-07-29,92.63,93.39,92.61,93.21,7925000,91.22
2013-07-26,92.32,92.93,91.65,92.83,8663700,90.84
2013-07-25,92.00,92.75,91.75,92.57,7368000,90.59
2013-07-24,92.65,92.66,91.75,92.36,6846300,90.38
2013-07-23,92.39,92.86,92.11,92.42,8467700,90.44
2013-07-22,92.08,92.56,91.61,92.28,9916200,90.31
2013-07-19,90.24,92.27,90.05,92.23,12506300,90.26
2013-07-18,90.33,90.95,90.06,90.17,8329300,88.24
2013-07-17,90.58,90.97,89.88,90.13,12832200,88.20
2013-07-16,91.04,91.66,90.13,90.40,11409200,88.47
2013-07-15,89.91,90.81,89.76,90.40,13343200,88.47
2013-07-12,89.69,89.99,89.38,89.99,7590600,88.06
2013-07-11,89.81,89.93,89.00,89.67,8941300,87.75
2013-07-10,88.88,89.48,88.81,89.24,7067100,87.33
2013-07-09,88.65,89.08,88.36,88.88,9348600,86.98
2013-07-08,88.09,88.99,87.97,88.59,12051400,86.69
2013-07-05,87.58,87.88,86.92,87.87,5403600,85.99
2013-07-03,86.54,87.04,86.10,86.78,3599900,84.92
2013-07-02,86.65,87.20,86.21,86.57,8572100,84.72
2013-07-01,85.72,87.64,85.50,86.63,9905200,84.78
2013-06-28,86.72,87.38,85.85,85.86,11896300,84.02
2013-06-27,87.53,87.82,86.49,86.71,8890300,84.85
2013-06-26,85.95,87.32,85.94,86.99,11966500,85.13
2013-06-25,85.16,85.59,84.54,85.35,11239400,83.52
2013-06-24,82.92,85.31,82.81,84.61,14777500,82.80
2013-06-21,83.00,84.32,82.50,83.20,20715800,81.42
2013-06-20,84.21,84.45,82.12,82.62,15172600,80.85
2013-06-19,86.43,86.50,84.80,84.86,8288400,83.04
2013-06-18,85.75,86.44,85.63,86.36,7233600,84.51
2013-06-17,85.37,86.40,84.98,85.63,8429100,83.80
2013-06-14,84.71,85.48,84.66,84.91,6357100,83.09
2013-06-13,83.60,84.96,83.08,84.91,8570000,83.09
2013-06-12,85.18,85.50,83.70,83.74,8413200,81.95
2013-06-11,84.76,85.02,84.13,84.69,8967000,82.88
2013-06-10,85.01,85.71,84.73,85.14,8477100,83.32
2013-06-07,84.96,85.18,84.40,84.91,8907700,83.09
2013-06-06,83.59,84.46,82.65,84.46,10671000,82.65
2013-06-05,83.91,85.00,83.48,83.68,9839100,81.89
2013-06-04,84.72,85.03,83.56,84.10,9972000,82.30
2013-06-03,84.28,84.71,83.37,84.71,11768500,82.90
2013-05-31,85.68,85.99,84.18,84.18,13302700,82.38
2013-05-30,85.71,86.31,85.68,85.99,7801200,84.15
2013-05-29,87.08,87.16,85.14,85.65,11872100,83.82
2013-05-28,87.54,88.29,87.27,87.61,8380200,85.74
2013-05-24,86.80,87.03,86.49,86.82,10390100,84.96
2013-05-23,87.11,87.97,87.00,87.21,14446900,85.34
2013-05-22,88.70,89.99,88.20,88.46,13825900,85.92
2013-05-21,87.94,88.64,87.79,88.59,10099600,86.05
2013-05-20,88.10,88.20,87.81,88.01,7235800,85.48
2013-05-17,87.47,88.20,87.41,88.09,11437700,85.56
2013-05-16,87.33,87.77,87.06,87.45,9441900,84.94
2013-05-15,86.94,87.88,86.94,87.64,13444400,85.12
2013-05-14,85.76,87.08,85.76,86.97,10360700,84.47
2013-05-13,85.56,86.07,85.44,85.85,6631500,83.39
2013-05-10,85.29,85.76,85.18,85.76,7594800,83.30
2013-05-09,85.45,85.69,84.96,85.15,8342000,82.71
2013-05-08,85.48,85.60,84.93,85.46,8044600,83.01
2013-05-07,84.87,85.57,84.63,85.53,9061800,83.08
2013-05-06,85.78,85.78,84.55,84.68,8815600,82.25
2013-05-03,85.58,85.99,85.45,85.75,9213800,83.29
2013-05-02,84.44,85.21,84.17,85.16,8668900,82.72
2013-05-01,84.50,85.13,83.88,84.23,12312100,81.81
2013-04-30,85.39,85.70,84.89,85.23,12099600,82.78
2013-04-29,85.02,85.89,84.91,85.58,8038000,83.12
2013-04-26,85.30,85.49,84.81,85.12,6784700,82.68
2013-04-25,84.54,85.44,84.34,85.22,8689400,82.77
2013-04-24,85.68,85.74,84.28,84.39,9480600,81.97
2013-04-23,84.99,85.68,84.00,85.45,8982100,83.00
2013-04-22,84.59,84.93,84.20,84.83,6989900,82.40
2013-04-19,83.51,84.57,83.47,84.49,10787600,82.06
2013-04-18,83.96,84.30,83.03,83.18,9921500,80.79
2013-04-17,83.36,84.43,83.29,83.90,13693300,81.49
2013-04-16,82.33,83.54,82.07,83.44,12620000,81.05
2013-04-15,82.72,83.09,81.71,81.71,12385800,79.36
2013-04-12,82.25,82.74,82.17,82.74,6987000,80.37
2013-04-11,82.14,82.96,82.08,82.32,9882700,79.96
2013-04-10,81.83,82.20,81.74,82.02,7583200,79.67
2013-04-09,81.26,81.75,81.24,81.52,9111000,79.18
2013-04-08,81.27,81.39,80.31,81.11,15828500,78.78
2013-04-05,81.79,82.11,81.62,82.04,8581400,79.69
2013-04-04,82.20,82.72,81.93,82.41,10303000,80.04
2013-04-03,82.74,82.95,81.57,82.07,12254000,79.71
2013-04-02,82.00,82.69,81.90,82.69,10342200,80.32
2013-04-01,81.39,81.96,81.28,81.93,7376800,79.58
2013-03-28,81.37,81.59,80.95,81.53,11332100,79.19
2013-03-27,80.56,81.35,80.27,81.27,10703400,78.94
2013-03-26,79.93,80.88,79.85,80.85,12682900,78.53
2013-03-25,79.83,79.94,79.47,79.68,9616600,77.39
2013-03-22,79.11,79.74,79.02,79.74,6873100,77.45
2013-03-21,79.12,79.50,78.77,79.01,8436300,76.74
2013-03-20,79.18,79.61,79.17,79.45,8000800,77.17
2013-03-19,78.98,79.09,78.50,78.86,7095800,76.60
2013-03-18,78.72,79.19,78.70,78.81,8005400,76.55
2013-03-15,78.62,79.24,78.62,79.19,18296500,76.92
2013-03-14,78.67,79.10,78.49,79.10,10130400,76.83
2013-03-13,78.52,78.67,78.20,78.55,7983400,76.30
2013-03-12,78.50,78.69,78.21,78.56,8790500,76.31
2013-03-11,77.92,78.52,77.84,78.44,8807600,76.19
2013-03-08,77.84,78.22,77.70,78.19,8554100,75.95
2013-03-07,77.62,77.96,77.59,77.75,7996500,75.52
2013-03-06,77.69,77.74,77.22,77.39,8535200,75.17
2013-03-05,77.56,77.71,77.44,77.66,9399400,75.43
2013-03-04,76.73,77.28,76.73,77.20,12628000,74.98
2013-03-01,75.79,76.77,75.73,76.70,9528300,74.50
2013-02-28,76.23,76.49,76.11,76.11,11806300,73.93
2013-02-27,75.68,76.45,75.60,76.32,8180300,74.13
2013-02-26,75.88,76.34,75.50,75.75,10742100,73.58
2013-02-25,76.47,76.66,75.57,75.57,10603300,73.40
2013-02-22,76.39,76.49,75.97,76.25,8571500,74.06
2013-02-21,76.47,77.02,76.38,76.87,9465700,74.07
2013-02-20,76.79,76.97,76.54,76.65,7857500,73.86
2013-02-19,76.03,77.00,75.96,76.96,9747400,74.16
2013-02-15,75.72,76.16,75.51,76.16,10528400,73.39
2013-02-14,75.50,76.09,75.38,75.81,9681800,73.05
2013-02-13,75.79,75.87,75.37,75.66,8014800,72.91
2013-02-12,75.42,75.86,75.42,75.80,7598900,73.04
2013-02-11,75.28,75.50,75.05,75.41,5697100,72.66
2013-02-08,75.17,75.61,74.73,75.48,8153300,72.73
2013-02-07,74.82,75.20,74.68,75.06,9798200,72.33
2013-02-06,74.57,75.39,74.52,75.39,12084000,72.65
2013-02-05,74.49,74.82,74.47,74.66,10230800,71.94
2013-02-04,73.56,74.25,73.56,74.11,9200700,71.41
2013-02-01,74.14,74.42,74.08,74.18,10016300,71.48
2013-01-31,74.08,74.36,73.78,73.92,10448700,71.23
2013-01-30,74.45,74.80,74.01,74.09,9245500,71.39
2013-01-29,73.67,74.62,73.64,74.41,12386500,71.70
2013-01-28,73.96,74.00,73.43,73.62,9420900,70.94
2013-01-25,73.13,73.93,73.06,73.92,10421500,71.23
2013-01-24,72.96,73.23,72.84,73.10,9369700,70.44
2013-01-23,72.52,72.91,72.47,72.85,10155100,70.20
2013-01-22,72.92,73.21,72.42,72.69,11469800,70.04
2013-01-18,72.90,73.23,72.79,73.23,13558600,70.56
2013-01-17,72.88,73.01,72.37,72.90,10570100,70.25
2013-01-16,72.26,72.82,72.25,72.58,8779900,69.94
2013-01-15,72.25,72.44,72.00,72.37,7795100,69.74
2013-01-14,72.60,72.79,72.37,72.56,7386000,69.92
2013-01-11,72.19,72.58,72.16,72.35,7766700,69.72
2013-01-10,71.81,72.38,71.74,72.19,11888500,69.56
