Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,61.64,62.39,61.32,62.19,6230500,52.52
2008-12-30,60.87,61.75,60.40,61.74,5801000,52.14
2008-12-29,60.99,61.37,59.79,60.38,5785900,50.99
2008-12-26,61.50,61.57,60.83,61.06,2410100,51.57
2008-12-24,61.23,61.66,60.75,61.28,2574800,51.75
2008-12-23,61.58,62.18,60.51,60.65,7178800,51.22
2008-12-22,60.32,61.40,60.07,61.40,9064900,51.85
2008-12-19,61.78,62.17,60.16,60.32,15966600,50.94
2008-12-18,63.02,63.02,60.90,61.29,11393600,51.76
2008-12-17,62.61,63.59,62.18,62.63,10869400,52.89
2008-12-16,61.14,63.00,60.91,62.92,13487700,53.14
2008-12-15,60.69,61.23,60.00,60.69,7964700,51.26
2008-12-12,59.62,61.18,59.52,60.59,9827700,51.17
2008-12-11,61.10,62.45,60.62,60.87,11650300,51.41
2008-12-10,60.22,61.93,59.76,61.66,11410900,52.07
2008-12-09,60.62,60.97,59.03,59.68,13459500,50.40
2008-12-08,63.35,63.99,60.40,60.92,16959100,51.45
2008-12-05,60.10,62.86,58.55,62.72,17843400,52.97
2008-12-04,59.24,62.08,58.77,60.84,16996200,51.38
2008-12-03,56.76,59.83,56.50,59.55,13454300,50.29
2008-12-02,56.87,57.75,55.44,57.05,10215700,48.18
2008-12-01,58.07,58.74,55.99,56.17,11077100,47.44
2008-11-28,57.63,58.98,57.06,58.75,3916400,49.62
2008-11-26,55.66,58.05,55.30,57.90,9377800,48.90
2008-11-25,56.50,57.11,54.83,56.81,14759300,47.56
2008-11-24,55.54,56.50,55.00,55.51,13472900,46.47
2008-11-21,53.68,55.21,51.15,55.15,20692500,46.17
2008-11-20,54.73,56.30,52.58,52.91,15883200,44.29
2008-11-19,56.25,57.94,55.26,55.44,16144600,46.41
2008-11-18,55.02,57.23,54.80,56.51,12905200,47.30
2008-11-17,55.90,57.11,55.50,55.61,11272300,46.55
2008-11-14,55.33,58.30,54.63,56.13,12851700,46.99
2008-11-13,54.15,56.30,52.00,56.25,15680700,47.09
2008-11-12,55.41,56.25,53.75,54.02,10940200,45.22
2008-11-11,56.39,57.01,55.62,56.29,9076000,47.12
2008-11-10,57.15,58.10,55.90,56.48,8925000,47.28
