Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,57.23,57.92,56.68,57.54,4005800,50.04
2008-12-30,55.56,57.27,55.22,57.17,3775000,49.72
2008-12-29,55.55,56.00,54.26,55.37,3037000,48.15
2008-12-26,55.55,56.11,55.51,55.74,1634300,48.48
2008-12-24,55.61,55.98,55.36,55.50,1336400,48.27
2008-12-23,56.71,57.50,55.31,55.44,3286400,48.22
2008-12-22,56.53,57.06,55.27,56.37,4210100,49.02
2008-12-19,58.00,58.04,56.23,56.62,7536900,49.24
2008-12-18,58.90,59.26,56.28,56.71,5574500,49.32
2008-12-17,57.50,59.50,57.50,58.58,5847400,50.95
2008-12-16,55.57,58.60,55.31,58.32,9334200,50.72
2008-12-15,56.60,56.72,54.92,55.63,5557100,48.38
2008-12-12,54.27,56.57,53.59,56.04,4723400,48.74
2008-12-11,56.77,57.24,54.65,55.14,7404600,47.95
2008-12-10,56.91,58.29,56.47,57.52,5391200,50.02
2008-12-09,55.46,56.74,55.00,56.15,8788600,48.83
2008-12-08,59.01,60.68,55.43,57.38,14082600,49.90
2008-12-05,58.21,60.44,57.84,59.85,10272200,52.05
2008-12-04,60.13,60.45,58.10,59.14,9290700,51.43
2008-12-03,59.66,61.70,59.16,60.71,8972800,52.80
2008-12-02,60.70,62.14,58.82,60.86,11934400,52.93
2008-12-01,64.95,66.25,62.10,62.35,9715700,54.23
2008-11-28,65.18,67.00,64.20,66.93,3205500,58.21
2008-11-26,62.45,66.00,62.40,65.91,6396000,57.32
2008-11-25,64.34,64.50,61.83,63.64,8689800,55.35
2008-11-24,62.00,64.24,61.00,63.26,10617300,55.02
2008-11-21,57.78,61.61,56.64,61.30,14803200,53.31
2008-11-20,58.25,61.06,56.25,56.79,11517100,49.39
2008-11-19,61.83,62.36,58.60,58.77,8329600,51.11
2008-11-18,60.23,62.42,59.50,62.17,9223700,53.63
2008-11-17,62.33,62.93,60.03,60.80,6571200,52.45
2008-11-14,63.22,65.95,62.60,63.06,6996600,54.40
2008-11-13,59.23,64.87,57.91,64.43,11086500,55.58
2008-11-12,61.18,61.93,59.24,59.44,8203700,51.28
2008-11-11,63.87,64.94,61.40,62.38,6573400,53.81
2008-11-10,65.98,66.56,64.08,64.95,5755500,56.03
2008-11-07,62.92,64.83,62.34,64.83,6134000,55.93
2008-11-06,64.04,65.47,62.07,62.36,7842900,53.80
2008-11-05,64.64,67.47,64.39,64.52,8213300,55.66
2008-11-04,65.45,66.23,64.17,65.61,5896200,56.60
2008-11-03,63.56,64.65,63.47,64.11,3677600,55.31
2008-10-31,62.48,64.56,61.75,64.30,7259400,55.47
2008-10-30,64.49,64.56,61.30,62.55,7141000,53.96
2008-10-29,64.28,64.98,61.87,62.50,11277700,53.92
2008-10-28,61.09,64.56,58.34,64.31,9364400,55.48
2008-10-27,58.60,62.76,58.50,60.37,9268500,52.08
2008-10-24,58.36,61.50,57.52,59.61,10095000,51.43
2008-10-23,58.53,62.10,57.74,61.54,15117300,53.09
2008-10-22,59.25,60.90,57.08,58.19,11002300,50.20
2008-10-21,60.15,61.91,59.07,60.04,10744000,51.80
2008-10-20,57.67,57.67,55.00,57.51,6668500,49.61
2008-10-17,56.16,59.00,55.26,56.49,7288100,48.73
2008-10-16,54.76,57.79,52.34,57.27,10485700,49.41
2008-10-15,58.05,59.38,54.62,54.68,9646200,47.17
