Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,29.70,30.57,29.69,30.40,12024200,24.23
2008-12-30,28.66,29.66,28.66,29.60,11017300,23.59
2008-12-29,29.11,29.25,27.95,28.30,12959000,22.55
2008-12-26,29.40,29.50,28.75,29.00,3854700,23.11
2008-12-24,29.36,29.66,29.10,29.27,3376200,23.33
2008-12-23,29.36,30.22,29.19,29.41,18440000,23.44
2008-12-22,28.47,29.38,28.29,29.09,17058000,23.18
2008-12-19,28.06,29.07,27.65,28.56,26621900,22.76
2008-12-18,27.39,28.33,27.06,27.74,18812300,22.11
2008-12-17,27.19,27.83,26.93,27.12,14171900,21.61
2008-12-16,27.05,28.10,26.48,27.91,15785000,22.24
2008-12-15,26.95,27.24,26.20,26.60,12511900,21.20
2008-12-12,25.90,27.15,25.82,27.04,13315900,21.55
2008-12-11,26.80,27.77,26.20,26.44,12548500,21.07
2008-12-10,26.41,27.41,26.41,26.98,13204900,21.50
2008-12-09,27.36,27.46,26.16,26.31,19457000,20.97
2008-12-08,27.01,27.68,26.75,27.00,15348300,21.52
2008-12-05,24.67,26.92,24.13,26.49,23203800,21.11
2008-12-04,25.33,26.03,24.62,25.00,20633800,19.92
2008-12-03,25.65,26.69,25.43,26.46,14854500,21.09
2008-12-02,25.87,26.77,25.36,26.68,15542100,20.96
2008-12-01,26.37,26.75,24.76,24.85,14683700,19.52
2008-11-28,25.68,26.72,25.64,26.72,5921300,20.99
2008-11-26,25.40,26.39,25.00,26.31,12770500,20.67
2008-11-25,25.85,26.00,25.15,25.81,13649900,20.28
2008-11-24,24.84,25.96,24.38,25.44,17168500,19.99
2008-11-21,23.90,24.46,22.82,24.40,24349200,19.17
2008-11-20,25.18,26.60,23.18,23.56,23227600,18.51
2008-11-19,25.83,26.90,25.20,25.31,15545600,19.88
2008-11-18,25.68,26.70,25.07,26.13,18212300,20.53
2008-11-17,26.73,26.97,25.91,25.99,11982200,20.42
2008-11-14,27.96,28.77,27.25,27.33,16182000,21.47
2008-11-13,27.39,28.73,26.08,28.53,19972700,22.41
2008-11-12,27.40,27.42,26.52,26.72,13127700,20.99
2008-11-11,27.81,28.04,27.02,27.55,11751900,21.64
2008-11-10,29.56,29.85,27.51,27.91,13169100,21.93
2008-11-07,28.10,29.37,28.00,28.92,10817100,22.72
2008-11-06,28.56,29.33,27.62,27.86,19383200,21.89
2008-11-05,30.68,31.00,28.55,28.72,14671500,22.56
2008-11-04,30.53,31.30,30.16,31.13,14602000,24.46
2008-11-03,30.93,31.10,29.56,29.97,11835300,23.55
2008-10-31,30.02,31.69,29.13,30.95,16503900,24.31
2008-10-30,29.34,30.79,29.34,30.19,15457400,23.72
2008-10-29,29.46,30.71,28.53,28.68,18459200,22.53
2008-10-28,26.90,29.90,26.10,29.69,22985900,23.33
2008-10-27,27.03,28.36,25.80,26.82,16270200,21.07
2008-10-24,26.51,28.24,26.46,27.35,17210500,21.49
2008-10-23,28.44,29.38,26.86,28.85,22299000,22.67
2008-10-22,29.10,29.91,27.50,28.01,20669500,22.01
2008-10-21,30.38,31.44,29.84,29.97,14249400,23.55
2008-10-20,29.26,31.31,28.63,31.00,27174600,24.35
2008-10-17,27.54,30.20,27.33,28.50,23017800,22.39
2008-10-16,27.26,28.30,25.60,28.19,19629700,22.15
2008-10-15,28.83,29.10,26.41,26.56,18220100,20.87
2008-10-14,31.32,31.43,28.16,29.13,19776000,22.89
2008-10-13,27.23,29.79,27.12,29.42,20425400,23.11
2008-10-10,25.26,28.32,23.64,26.23,38493700,20.61
2008-10-09,28.45,28.57,25.53,26.21,25450500,20.59
2008-10-08,28.58,29.93,28.01,28.52,22480200,22.41
2008-10-07,30.04,31.24,28.82,28.92,20669400,22.72
2008-10-06,31.29,32.28,29.04,30.04,23631800,23.60
2008-10-03,31.39,32.30,31.25,31.78,17295500,24.97
2008-10-02,31.73,32.46,31.06,31.10,17471000,24.43
2008-10-01,31.42,32.44,31.40,32.09,14151900,25.21
2008-09-30,30.95,31.79,30.77,31.56,15030700,24.79
2008-09-29,31.89,32.12,30.34,30.34,23919700,23.84
2008-09-26,32.03,32.62,31.80,32.12,12800900,25.23
2008-09-25,31.63,32.63,31.52,32.37,15576000,25.43
2008-09-24,30.76,31.72,30.70,31.47,11357900,24.72
2008-09-23,31.47,32.00,30.69,30.75,17617800,24.16
2008-09-22,31.99,32.62,31.35,31.45,11772800,24.71
2008-09-19,32.64,32.87,30.52,31.84,25470700,25.01
2008-09-18,31.43,32.04,30.63,31.93,19854200,25.08
2008-09-17,31.76,32.20,30.99,31.13,22463600,24.46
2008-09-16,32.27,32.78,31.51,32.28,21910300,25.36
2008-09-15,33.11,33.85,32.71,32.72,15473400,25.71
2008-09-12,33.81,34.25,33.54,33.82,10987600,26.57
2008-09-11,33.12,34.10,33.12,33.99,16618900,26.70
2008-09-10,34.43,34.49,33.27,33.52,17493400,26.33
2008-09-09,35.50,35.85,34.31,34.34,14710200,26.98
