Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,30.62,30.81,30.49,30.63,15164900,30.38
2013-12-30,30.54,30.70,30.39,30.69,14799400,30.44
2013-12-27,30.76,30.85,30.53,30.64,11956300,30.39
2013-12-26,30.37,30.56,30.32,30.55,12056900,30.30
2013-12-24,30.44,30.45,30.22,30.29,10992500,30.04
2013-12-23,30.46,30.50,30.17,30.35,22988600,30.10
2013-12-20,30.72,30.96,30.25,30.25,62314400,30.00
2013-12-19,30.78,31.01,30.61,30.71,32703000,30.46
2013-12-18,30.30,30.78,30.01,30.77,34869100,30.52
2013-12-17,30.18,30.31,30.01,30.14,28653500,29.89
2013-12-16,30.30,30.63,30.14,30.25,28214700,30.00
2013-12-13,30.44,30.48,29.95,30.25,26081000,30.00
2013-12-12,30.55,30.77,30.21,30.25,29093800,30.00
2013-12-11,31.31,31.34,30.52,30.65,35033200,30.40
2013-12-10,31.41,31.49,31.20,31.34,22701200,31.08
2013-12-09,31.53,31.69,31.41,31.58,21264100,31.32
2013-12-06,31.55,31.61,31.33,31.54,18913700,31.28
2013-12-05,31.12,31.40,31.12,31.25,20665700,30.99
2013-12-04,31.11,31.43,31.00,31.27,23786100,31.01
2013-12-03,31.69,31.71,31.17,31.22,37129400,30.96
2013-12-02,31.61,31.93,31.61,31.83,18767600,31.57
2013-11-29,31.88,32.02,31.70,31.73,11843400,31.47
2013-11-27,32.02,32.08,31.80,31.88,17036200,31.62
2013-11-26,32.27,32.27,31.88,31.89,23278900,31.63
2013-11-25,32.12,32.50,32.08,32.14,25408200,31.87
2013-11-22,31.90,32.16,31.80,32.12,25414100,31.85
2013-11-21,31.85,32.16,31.78,31.97,26112800,31.71
2013-11-20,31.79,32.10,31.65,31.92,20261600,31.66
2013-11-19,31.98,32.02,31.61,31.66,28822400,31.40
2013-11-18,32.08,32.15,31.91,32.01,21917200,31.75
2013-11-15,31.83,32.20,31.71,32.20,24410700,31.93
2013-11-14,31.94,32.21,31.78,32.00,27522400,31.74
2013-11-13,31.28,31.87,31.28,31.87,27179900,31.61
2013-11-12,31.18,31.60,31.12,31.38,25209000,31.12
2013-11-11,31.22,31.30,31.16,31.24,16907700,30.98
2013-11-08,30.88,31.35,30.73,31.32,25019700,31.06
2013-11-07,30.99,31.24,30.91,30.91,25147700,30.65
2013-11-06,31.23,31.33,30.86,30.97,25019400,30.71
2013-11-05,31.19,31.34,31.02,31.24,18921000,30.74
2013-11-04,31.16,31.40,31.12,31.26,18806200,30.76
2013-11-01,30.70,31.26,30.69,31.17,28011900,30.67
2013-10-31,30.78,31.07,30.65,30.69,30359300,30.20
2013-10-30,31.25,31.28,30.80,30.93,22447900,30.44
2013-10-29,30.84,31.35,30.82,31.25,34477300,30.75
2013-10-28,30.45,30.81,30.45,30.74,25687400,30.25
2013-10-25,30.48,30.69,30.42,30.61,24435700,30.12
2013-10-24,30.68,30.91,30.56,30.61,25601200,30.12
2013-10-23,30.65,30.86,30.58,30.60,24931500,30.11
2013-10-22,30.38,30.94,30.33,30.68,32171100,30.19
2013-10-21,30.47,30.64,30.35,30.40,24066000,29.92
2013-10-18,30.19,30.74,30.08,30.51,43556200,30.03
2013-10-17,29.82,30.26,29.69,30.26,29725100,29.78
2013-10-16,29.26,29.81,29.19,29.80,31498600,29.33
2013-10-15,29.21,29.28,29.01,29.16,31498000,28.70
2013-10-14,28.56,29.36,28.55,29.35,28976800,28.88
2013-10-11,28.92,28.93,28.63,28.72,24403700,28.26
2013-10-10,28.62,28.77,28.29,28.77,24625300,28.31
2013-10-09,28.25,28.44,28.02,28.29,31470500,27.84
2013-10-08,28.60,28.69,28.23,28.24,24954000,27.79
2013-10-07,28.73,28.83,28.62,28.62,19423400,28.17
2013-10-04,28.83,29.04,28.60,29.00,19540400,28.54
2013-10-03,29.02,29.02,28.69,28.77,22687200,28.31
2013-10-02,28.69,29.01,28.64,29.01,22411500,28.55
2013-10-01,28.58,28.95,28.52,28.89,23519700,28.43
2013-09-30,28.71,28.80,28.61,28.73,26434100,28.27
2013-09-27,28.48,29.00,28.36,28.88,28204600,28.42
2013-09-26,28.63,28.70,28.35,28.52,25489700,28.07
2013-09-25,28.69,28.88,28.49,28.49,26204700,28.04
2013-09-24,28.73,28.94,28.61,28.71,19147700,28.25
2013-09-23,28.77,29.04,28.70,28.80,24879500,28.34
2013-09-20,28.97,29.13,28.93,28.97,40498600,28.51
2013-09-19,29.04,29.15,28.65,28.84,33648700,28.38
2013-09-18,28.73,29.27,28.65,29.04,30336200,28.58
2013-09-17,28.66,28.84,28.57,28.64,22013800,28.18
2013-09-16,28.74,28.85,28.60,28.71,22972800,28.25
2013-09-13,28.39,28.65,28.32,28.51,21959300,28.06
2013-09-12,28.64,28.75,28.27,28.31,28440100,27.86
2013-09-11,28.53,28.74,28.48,28.67,20080800,28.21
2013-09-10,28.38,28.52,28.28,28.45,23756500,28.00
2013-09-09,28.23,28.36,28.10,28.30,21989000,27.85
2013-09-06,28.28,28.54,28.07,28.28,22281400,27.83
2013-09-05,28.52,28.52,28.16,28.27,20817500,27.82
2013-09-04,28.19,28.54,28.07,28.37,25374500,27.92
2013-09-03,28.38,28.45,27.86,28.01,23685200,27.56
2013-08-30,28.05,28.40,28.01,28.21,29782300,27.76
2013-08-29,28.12,28.48,28.07,28.10,22075700,27.65
2013-08-28,27.95,28.49,27.81,28.21,29224600,27.76
2013-08-27,27.92,28.28,27.76,28.00,24603200,27.56
2013-08-26,28.33,28.37,28.02,28.02,20114300,27.57
2013-08-23,28.14,28.36,28.09,28.34,18507400,27.89
2013-08-22,28.33,28.33,28.11,28.16,22738700,27.71
