Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,28.19,28.88,27.85,28.50,20764700,20.86
2008-12-30,27.90,28.23,27.47,28.23,20614900,20.66
2008-12-29,28.02,28.08,27.32,27.86,17102000,20.39
2008-12-26,27.98,28.13,27.78,27.94,8195100,20.45
2008-12-24,27.78,28.07,27.70,27.83,6821400,20.37
2008-12-23,28.27,28.55,27.61,27.72,21580800,20.29
2008-12-22,28.14,28.65,27.53,28.13,24553200,20.59
2008-12-19,28.00,28.46,27.50,28.12,48656700,20.58
2008-12-18,28.40,28.85,27.50,27.72,33177300,20.29
2008-12-17,28.01,28.70,27.54,28.12,30397800,20.58
2008-12-16,27.25,28.40,27.06,28.23,44733600,20.66
2008-12-15,27.65,27.94,26.57,27.13,42601000,19.86
2008-12-12,27.42,28.47,27.28,28.18,32808600,20.62
2008-12-11,27.65,28.51,27.51,27.94,38939000,20.45
2008-12-10,29.36,29.68,27.63,28.08,44502100,20.55
2008-12-09,29.83,30.18,28.76,29.16,39560600,21.34
2008-12-08,28.90,30.65,28.84,29.98,45880900,21.94
2008-12-05,27.63,28.84,26.97,28.15,51201500,20.60
2008-12-04,28.29,29.64,27.65,28.17,44983000,20.62
2008-12-03,27.41,29.37,27.30,29.08,42681000,21.28
2008-12-02,27.34,28.25,27.20,28.04,36969500,20.52
2008-12-01,28.00,28.07,26.90,26.96,36892700,19.73
2008-11-28,28.19,28.72,28.10,28.56,16044400,20.90
2008-11-26,26.64,28.67,26.39,28.39,39462000,20.78
2008-11-25,27.63,27.90,25.58,27.29,43187500,19.97
2008-11-24,25.77,27.75,25.75,26.94,54986100,19.72
2008-11-21,25.05,25.35,23.32,25.19,57855900,18.44
2008-11-20,24.91,26.68,24.15,24.51,57113200,17.94
2008-11-19,26.50,26.89,25.11,25.23,35461900,18.47
2008-11-18,26.55,27.27,25.50,26.57,45527900,19.45
2008-11-17,27.32,27.53,26.41,26.77,31965200,19.59
2008-11-14,28.02,28.99,26.57,27.65,38959900,20.24
2008-11-13,26.12,28.74,25.75,28.67,45718400,20.98
2008-11-12,26.88,27.25,26.00,26.18,28552400,19.16
2008-11-11,27.28,28.10,26.91,27.33,26618400,20.00
2008-11-10,27.78,28.10,26.97,27.47,24611600,20.11
2008-11-07,26.22,27.20,26.22,27.00,28701700,19.76
2008-11-06,26.92,27.59,25.73,25.99,35549700,19.02
2008-11-05,28.80,28.90,27.00,27.15,33995600,19.87
2008-11-04,28.55,29.91,28.43,29.28,39444700,21.43
2008-11-03,26.87,28.21,26.85,27.81,25954400,20.35
2008-10-31,26.94,28.30,26.77,26.77,43585300,19.59
2008-10-30,27.79,28.00,26.45,27.10,31707500,19.83
2008-10-29,27.53,28.00,26.35,26.90,46814700,19.69
2008-10-28,25.09,27.83,24.92,27.61,51075900,20.21
2008-10-27,24.59,25.50,24.00,24.39,34125000,17.85
2008-10-24,23.12,25.62,23.11,24.68,46490000,18.06
2008-10-23,23.86,25.80,23.85,25.26,54898900,18.49
2008-10-22,25.00,25.35,23.00,23.78,48232700,17.40
2008-10-21,26.78,27.17,25.42,25.73,32938100,18.83
2008-10-20,25.68,27.08,25.29,26.99,35154200,19.75
2008-10-17,24.90,26.75,24.50,25.29,42494600,18.51
2008-10-16,24.91,25.75,23.91,25.46,51195900,18.63
2008-10-15,26.00,26.12,24.57,24.62,47763900,18.02
2008-10-14,27.56,28.51,26.05,26.68,49659400,19.53
2008-10-13,23.27,26.13,23.01,26.07,51210300,19.08
2008-10-10,22.14,24.82,20.90,22.42,80121000,16.41
2008-10-09,24.82,25.22,22.52,23.00,59864600,16.83
2008-10-08,25.02,26.13,23.95,24.73,65698600,18.10
2008-10-07,27.40,27.80,25.72,25.74,43511200,18.55
2008-10-06,27.48,27.82,26.00,26.86,53354600,19.35
2008-10-03,28.25,29.37,27.86,28.12,42475700,20.26
2008-10-02,28.20,28.59,27.65,27.97,32509100,20.15
2008-10-01,28.15,28.49,27.05,28.09,37712600,20.24
2008-09-30,28.35,29.02,27.92,27.92,45946700,20.12
2008-09-29,29.63,30.00,27.56,27.75,42345100,19.99
2008-09-26,29.60,30.10,29.41,30.00,24635700,21.62
2008-09-25,29.24,30.55,29.06,30.07,32768900,21.67
2008-09-24,29.01,29.17,28.27,28.98,23577100,20.88
2008-09-23,29.29,29.93,28.65,28.75,26791000,20.71
2008-09-22,30.46,30.50,28.90,29.21,27506800,21.05
2008-09-19,30.66,31.18,29.25,30.43,44183200,21.93
2008-09-18,28.88,29.68,27.51,29.08,55379500,20.95
2008-09-17,29.41,29.64,28.25,28.80,53769200,20.75
2008-09-16,29.57,30.29,29.08,29.88,42645600,21.53
2008-09-15,30.73,31.12,29.96,29.96,36093800,21.59
2008-09-12,31.38,31.57,30.69,31.54,23375100,22.73
2008-09-11,31.25,31.61,30.65,31.56,27766200,22.74
2008-09-10,32.49,32.49,31.49,31.55,30306300,22.73
2008-09-09,32.37,33.10,32.26,32.55,39611700,23.45
2008-09-08,32.13,32.68,31.56,32.55,29628100,23.45
2008-09-05,31.36,31.74,31.02,31.50,22855300,22.70
2008-09-04,32.25,32.60,31.52,31.58,29933100,22.75
2008-09-03,32.12,32.68,32.10,32.42,19535100,23.36
2008-09-02,32.53,33.15,32.08,32.25,29280800,23.24
2008-08-29,32.01,32.81,31.99,31.99,31327200,23.05
2008-08-28,31.40,32.40,31.40,32.23,27859500,23.22
2008-08-27,30.71,31.38,30.50,31.20,18922300,22.48
2008-08-26,30.50,30.71,30.25,30.62,19235000,22.06
2008-08-25,31.03,31.07,30.41,30.52,15946300,21.99
2008-08-22,30.90,31.47,30.76,31.17,18071100,22.46
2008-08-21,30.46,30.86,30.32,30.76,15795500,22.16
2008-08-20,30.96,31.01,30.39,30.69,20968800,22.11
2008-08-19,31.27,31.32,30.61,30.80,17668400,22.19
2008-08-18,31.77,32.18,31.21,31.40,18501200,22.62
2008-08-15,31.18,31.92,31.16,31.66,21949200,22.81
2008-08-14,31.15,31.48,30.63,31.12,24677300,22.42
2008-08-13,31.52,31.61,30.84,31.30,21990900,22.55
2008-08-12,31.94,31.95,31.50,31.65,23567500,22.80
2008-08-11,30.97,31.88,30.96,31.84,26786600,22.94
2008-08-08,30.42,31.16,30.32,30.97,36738000,22.31
2008-08-07,30.59,30.96,30.16,30.31,31064300,21.84
2008-08-06,30.90,31.39,30.45,30.87,24954400,22.24
2008-08-05,30.35,31.15,30.13,31.05,27158800,22.37
2008-08-04,30.47,30.55,29.72,30.17,23566000,21.74
2008-08-01,31.01,31.67,30.18,30.44,36075600,21.93
2008-07-31,30.85,31.68,30.77,30.81,42553200,22.20
2008-07-30,30.92,31.09,30.53,30.91,23716700,22.27
2008-07-29,30.68,31.10,30.56,30.70,28850900,22.12
2008-07-28,31.49,31.50,30.60,30.63,27573600,22.07
2008-07-25,31.90,32.08,31.29,31.40,21136200,22.62
2008-07-24,32.82,32.82,31.56,31.70,34426800,22.84
2008-07-23,32.79,33.56,32.16,33.06,41224100,23.82
2008-07-22,31.56,31.85,31.17,31.82,32437100,22.93
2008-07-21,32.20,32.45,31.71,31.83,18728100,22.93
2008-07-18,32.00,32.12,31.47,32.12,28433900,23.14
2008-07-17,32.09,32.14,31.34,31.75,32490700,22.88
2008-07-16,32.12,32.45,31.58,31.92,31145000,23.00
2008-07-15,31.68,32.50,31.51,31.95,27322900,23.02
2008-07-14,32.91,32.98,32.20,32.37,19889100,23.32
2008-07-11,32.50,32.95,32.25,32.58,27656900,23.47
2008-07-10,32.60,32.97,32.46,32.77,27771500,23.61
2008-07-09,33.05,33.25,32.10,32.12,20678100,23.14
2008-07-08,32.37,33.03,32.25,32.96,28531800,23.75
2008-07-07,32.69,33.20,32.14,32.68,25963300,23.26
2008-07-03,32.95,32.99,32.13,32.58,22429600,23.19
2008-07-02,33.47,33.51,32.84,32.89,26577400,23.41
2008-07-01,33.41,33.59,32.95,33.30,33947000,23.70
2008-06-30,32.75,33.84,32.63,33.69,33457400,23.98
2008-06-27,33.50,33.51,32.76,32.76,44127800,23.32
2008-06-26,34.78,34.78,33.47,33.47,36642100,23.82
2008-06-25,34.89,35.25,34.40,34.47,35768500,24.53
2008-06-24,34.19,34.65,33.93,34.27,24954200,24.39
2008-06-23,34.51,34.70,34.25,34.38,28457500,24.47
2008-06-20,35.14,35.59,34.41,34.43,43385000,24.50
2008-06-19,35.22,35.52,34.78,35.15,27323000,25.02
2008-06-18,35.53,35.61,35.17,35.25,23924800,25.09
2008-06-17,36.28,36.31,35.64,35.69,20220500,25.40
2008-06-16,35.95,36.34,35.63,36.17,27088200,25.74
2008-06-13,36.56,36.80,36.03,36.68,20589700,26.11
2008-06-12,36.37,36.75,36.05,36.39,24926400,25.90
2008-06-11,37.11,37.19,35.93,36.14,35481900,25.72
2008-06-10,37.00,37.61,36.55,37.22,34005000,26.49
2008-06-09,38.41,38.76,36.94,37.56,31422900,26.73
2008-06-06,39.23,39.33,38.13,38.21,26983700,27.19
2008-06-05,38.60,39.66,38.55,39.46,22529200,28.08
2008-06-04,38.53,38.74,38.13,38.50,21995000,27.40
2008-06-03,39.41,39.49,38.52,38.78,24214500,27.60
2008-06-02,39.67,39.91,38.99,39.35,19649300,28.01
2008-05-30,40.25,40.25,39.80,39.90,25691300,28.40
2008-05-29,39.36,40.54,39.27,40.20,24424400,28.61
2008-05-28,39.12,39.54,39.01,39.51,22095500,28.12
2008-05-27,38.62,39.19,38.31,38.83,17192100,27.64
2008-05-23,39.04,39.36,38.35,38.53,14600100,27.42
2008-05-22,38.87,39.43,38.68,39.18,16342200,27.88
2008-05-21,39.38,39.54,38.71,38.89,18176200,27.68
2008-05-20,40.26,40.42,39.25,39.37,24538000,28.02
2008-05-19,40.10,40.70,39.83,40.51,19895700,28.83
2008-05-16,39.85,40.22,39.65,40.07,25263800,28.52
2008-05-15,39.71,39.98,39.33,39.86,21132000,28.37
2008-05-14,39.36,40.24,39.26,39.61,24252900,28.19
2008-05-13,39.13,39.62,39.10,39.26,13076300,27.94
2008-05-12,38.61,39.26,38.55,39.11,14875800,27.83
2008-05-09,38.56,38.86,38.30,38.59,15295100,27.46
2008-05-08,38.89,39.31,38.55,38.86,20118800,27.66
