Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,44.89,45.55,44.28,45.20,3523900,39.20
2008-12-30,43.81,45.00,43.43,44.93,2362600,38.97
2008-12-29,42.44,43.75,42.44,43.58,2312700,37.80
2008-12-26,42.00,42.91,41.78,42.47,1214600,36.84
2008-12-24,41.80,41.84,41.17,41.66,861300,36.13
2008-12-23,42.74,43.57,41.80,42.00,2923300,36.43
2008-12-22,42.94,43.91,41.45,41.93,3332100,36.37
2008-12-19,44.23,44.30,42.81,42.84,5096700,37.16
2008-12-18,41.29,43.78,41.15,42.77,5348100,37.10
2008-12-17,43.01,45.11,42.51,42.73,5117600,37.06
2008-12-16,40.68,44.54,40.63,44.45,6097100,38.55
2008-12-15,40.41,40.60,39.44,40.05,4407800,34.74
2008-12-12,38.50,40.92,37.20,40.58,4878100,35.20
2008-12-11,40.16,41.67,38.25,39.06,5457500,33.88
2008-12-10,42.59,42.59,39.86,40.59,4253300,35.21
2008-12-09,43.93,44.44,41.67,42.17,4700500,36.58
2008-12-08,44.58,44.65,42.29,43.77,5613600,37.96
2008-12-05,38.25,43.48,38.25,43.41,8362900,37.39
2008-12-04,39.25,41.16,38.17,38.82,6650800,33.44
2008-12-03,38.97,41.09,38.23,40.22,6426500,34.64
2008-12-02,37.90,41.00,37.38,40.16,6918300,34.59
2008-12-01,41.86,43.47,36.77,37.01,6972700,31.88
2008-11-28,42.87,43.80,42.39,43.65,2729800,37.60
2008-11-26,40.00,43.08,39.50,42.78,5813700,36.85
2008-11-25,41.41,41.61,38.52,40.45,7646000,34.84
2008-11-24,39.10,40.93,37.64,40.62,9030500,34.99
2008-11-21,35.96,38.95,33.85,38.77,9927000,33.39
2008-11-20,37.30,37.30,33.97,34.84,14078000,30.01
2008-11-19,40.79,42.16,36.42,37.29,8045000,32.12
2008-11-18,41.19,41.73,40.16,41.39,8534400,35.65
2008-11-17,41.40,42.38,40.63,41.07,4449600,35.38
2008-11-14,42.97,44.03,41.13,41.88,6644800,36.07
2008-11-13,39.22,43.53,39.03,43.42,9045500,37.40
2008-11-12,39.33,40.81,38.60,39.03,5798700,33.62
2008-11-11,38.53,41.08,37.07,40.17,5431400,34.60
2008-11-10,38.92,40.57,38.36,38.81,3893000,33.43
2008-11-07,38.01,39.99,37.52,39.61,4263600,34.12
2008-11-06,40.43,41.45,37.04,37.70,5833800,32.47
2008-11-05,41.93,42.70,39.96,40.43,5004800,34.82
2008-11-04,40.55,42.87,40.25,42.60,5578500,36.69
2008-11-03,42.68,42.68,40.39,40.55,3809700,34.93
2008-10-31,40.91,42.90,39.24,42.55,5722800,36.65
2008-10-30,41.77,42.24,40.03,41.15,6176500,35.44
2008-10-29,38.55,42.85,37.89,40.35,10791100,34.76
2008-10-28,38.50,39.60,36.53,38.79,9729800,33.41
2008-10-27,41.16,41.16,37.47,37.61,7217600,32.40
2008-10-24,37.30,42.75,36.53,41.74,10016900,35.95
2008-10-23,37.02,41.67,37.01,41.00,10682400,35.32
2008-10-22,33.91,38.53,33.88,37.02,7803200,31.89
2008-10-21,35.94,38.00,32.95,36.33,4251900,31.29
2008-10-20,33.93,36.32,33.00,36.15,4624100,31.14
2008-10-17,32.66,36.10,32.32,34.03,6165100,29.31
2008-10-16,33.88,34.73,31.17,33.25,10533800,28.64
2008-10-15,36.02,36.80,32.50,33.70,6907400,29.03
2008-10-14,37.72,38.75,35.05,36.96,9483700,31.84
2008-10-13,32.60,37.06,32.25,35.90,7885800,30.92
2008-10-10,29.68,34.67,28.91,30.50,11197600,26.27
2008-10-09,33.05,35.26,30.60,30.60,10009000,26.36
2008-10-08,33.88,42.00,32.67,32.67,10253100,28.14
2008-10-07,39.20,42.00,35.10,35.10,5457700,30.23
2008-10-06,38.41,41.00,36.92,39.10,5004100,33.68
2008-10-03,42.68,43.17,38.53,38.80,4110300,33.42
2008-10-02,43.75,43.81,40.25,40.47,3537400,34.86
2008-10-01,43.44,45.69,41.16,42.99,4979300,37.03
2008-09-30,39.40,46.00,38.74,45.20,6945100,38.93
2008-09-29,43.30,43.67,36.00,36.00,6793900,31.01
2008-09-26,44.00,45.81,43.36,44.00,3919100,37.90
2008-09-25,44.46,48.26,43.31,45.09,3959600,38.84
2008-09-24,45.63,47.85,43.50,44.18,3856500,38.05
2008-09-23,46.53,48.20,45.00,45.62,4142200,39.29
2008-09-22,50.25,50.95,44.98,46.53,5526200,40.08
2008-09-19,56.54,58.57,47.34,50.76,8436300,43.72
2008-09-18,46.76,50.80,45.08,50.80,11526600,43.76
2008-09-17,48.96,51.00,45.01,45.01,13185700,38.77
2008-09-16,44.30,49.80,43.88,48.86,12692200,42.09
2008-09-15,43.89,47.50,43.51,43.70,9824700,37.64
2008-09-12,43.99,45.56,43.98,45.05,4657100,38.80
2008-09-11,42.88,44.79,42.84,44.61,5654000,38.42
2008-09-10,44.23,45.04,42.99,44.20,4783900,38.07
2008-09-09,44.27,44.85,43.48,43.48,6557200,37.45
2008-09-08,44.31,45.48,43.40,44.70,6967300,38.50
2008-09-05,42.10,43.34,42.01,43.28,4190500,37.02
2008-09-04,44.19,44.53,42.60,42.69,4132900,36.52
2008-09-03,44.39,44.73,44.01,44.57,3182800,38.12
2008-09-02,44.82,45.16,44.08,44.53,3519400,38.09
2008-08-29,43.90,44.57,43.86,44.16,3552000,37.77
2008-08-28,44.03,44.56,43.69,44.55,3574500,38.11
2008-08-27,43.30,43.76,42.95,43.63,2671900,37.32
2008-08-26,43.58,43.90,42.66,43.24,3457000,36.99
2008-08-25,44.04,44.20,43.70,43.79,3984600,37.46
2008-08-22,42.84,44.35,42.83,44.31,3757000,37.90
2008-08-21,42.60,43.14,42.02,42.74,2626300,36.56
2008-08-20,42.59,43.02,41.95,42.88,3063700,36.68
2008-08-19,42.69,43.52,42.33,42.72,5277200,36.54
2008-08-18,44.53,44.53,43.09,43.23,3209400,36.98
2008-08-15,43.56,44.58,43.41,44.46,2947900,38.03
2008-08-14,42.69,43.86,42.60,43.52,2724300,37.23
2008-08-13,43.19,43.66,42.29,43.12,3196100,36.88
2008-08-12,43.44,44.08,43.23,43.52,3486800,37.23
2008-08-11,44.37,44.66,43.66,44.14,3019800,37.76
2008-08-08,43.01,44.51,42.71,44.39,2922000,37.97
2008-08-07,44.13,44.41,42.86,43.10,4142700,36.87
2008-08-06,44.62,44.72,44.30,44.46,4167400,38.03
2008-08-05,44.80,44.89,44.12,44.84,5081600,38.36
2008-08-04,43.90,44.71,43.76,44.36,3203000,37.94
2008-08-01,44.24,44.51,43.41,44.06,2999000,37.69
2008-07-31,44.09,44.74,43.90,44.12,4190500,37.74
2008-07-30,43.79,45.25,43.59,44.46,4300700,38.03
2008-07-29,42.21,43.39,41.87,43.30,5594700,37.04
2008-07-28,42.25,43.13,42.00,42.10,4031300,36.01
2008-07-25,43.30,43.57,42.01,42.33,3886600,36.21
2008-07-24,45.65,45.85,42.74,42.88,5196000,36.68
2008-07-23,44.22,46.35,44.01,45.60,7249500,39.01
2008-07-22,43.00,44.99,42.00,44.66,5474200,38.20
2008-07-21,43.50,43.96,42.83,43.08,3664100,36.85
2008-07-18,43.19,44.19,41.54,43.95,5108000,37.59
2008-07-17,44.52,45.00,42.11,43.24,7081500,36.99
2008-07-16,41.81,43.86,41.26,43.70,5729800,37.38
2008-07-15,42.08,43.44,41.47,41.49,5471000,35.49
2008-07-14,44.57,44.92,42.27,42.48,5065900,36.34
2008-07-11,43.41,44.68,42.92,44.12,5106500,37.74
