Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,27.06,27.31,26.20,26.60,5584600,25.03
2008-12-30,25.82,27.11,25.76,27.04,5886600,25.45
2008-12-29,26.41,26.41,25.08,25.57,5507900,24.07
2008-12-26,26.08,26.48,25.99,26.30,2108200,24.75
2008-12-24,26.16,26.48,25.48,25.96,1965700,24.43
2008-12-23,25.93,26.60,25.72,25.98,5888900,24.45
2008-12-22,26.47,26.82,25.00,25.74,8160500,24.23
2008-12-19,25.02,26.92,24.92,26.49,17398000,24.93
2008-12-18,24.16,25.08,23.69,24.91,10148800,23.44
2008-12-17,23.96,24.84,23.67,23.90,8141000,22.49
2008-12-16,23.06,24.89,22.50,24.35,11878600,22.92
2008-12-15,23.65,24.48,23.46,23.78,10733200,22.38
2008-12-12,22.82,23.84,22.55,23.54,8309400,22.15
2008-12-11,21.31,23.96,21.21,23.49,13822100,22.11
2008-12-10,21.00,21.81,20.89,21.57,7030600,20.30
2008-12-09,21.23,22.18,20.19,20.78,8246400,19.56
2008-12-08,21.98,22.09,20.88,21.45,7721800,20.19
2008-12-05,19.52,21.57,19.23,21.41,8246800,20.15
2008-12-04,20.04,20.87,19.53,19.90,7406500,18.73
2008-12-03,19.84,20.53,19.05,20.38,8016700,19.18
2008-12-02,20.50,21.22,19.25,20.32,8941500,19.12
2008-12-01,21.67,22.44,20.04,20.12,11531800,18.94
2008-11-28,20.81,21.38,20.75,21.01,3549700,19.77
2008-11-26,19.93,21.16,19.72,20.98,9609700,19.75
2008-11-25,19.59,20.99,19.45,20.73,13391300,19.51
2008-11-24,17.57,19.40,17.28,19.07,13471700,17.95
2008-11-21,16.72,17.20,15.19,17.15,17653300,16.14
2008-11-20,17.60,18.65,15.93,16.30,13078000,15.34
2008-11-19,18.91,19.52,17.70,17.73,9254900,16.69
2008-11-18,18.58,19.55,18.11,19.03,12303900,17.91
2008-11-17,19.73,20.03,18.89,18.89,8951100,17.78
2008-11-14,20.27,21.58,20.01,20.02,9847900,18.84
2008-11-13,18.98,20.87,17.86,20.84,13802000,19.61
2008-11-12,20.00,20.00,18.83,18.87,8305500,17.76
2008-11-11,21.08,21.08,19.59,20.16,9592200,18.97
2008-11-10,22.52,22.73,21.09,21.44,7087800,20.18
2008-11-07,22.41,22.92,21.83,22.43,7309700,21.11
2008-11-06,22.60,23.17,21.97,22.16,11371800,20.86
2008-11-05,22.58,23.64,22.48,22.77,11475300,21.43
2008-11-04,24.30,24.49,22.55,22.82,10569500,21.48
2008-11-03,23.68,23.99,23.25,23.49,5451000,22.11
2008-10-31,22.07,24.19,21.30,23.73,14807400,22.33
2008-10-30,22.69,22.69,21.12,22.39,9410800,21.07
2008-10-29,22.31,22.68,21.00,21.32,14461400,20.07
2008-10-28,21.27,22.48,20.00,22.45,11767800,21.13
2008-10-27,22.31,22.93,20.20,20.43,11761500,19.23
2008-10-24,22.18,23.45,21.26,22.91,10412300,21.56
2008-10-23,24.26,24.79,22.17,23.93,10879900,22.52
2008-10-22,23.70,24.82,22.70,24.06,15369300,22.64
2008-10-21,25.14,25.99,25.00,25.25,13449800,23.76
2008-10-20,24.62,25.61,24.20,25.51,9741400,24.01
2008-10-17,22.99,24.72,22.56,24.39,17641700,22.95
2008-10-16,23.62,24.00,20.70,22.63,20106300,21.30
2008-10-15,22.58,23.04,21.57,21.67,11159000,20.39
2008-10-14,24.31,25.25,22.66,22.99,14809700,21.64
2008-10-13,18.06,23.52,17.83,23.38,17691700,22.00
2008-10-10,16.63,19.00,14.51,17.35,22748600,16.33
2008-10-09,20.13,20.17,17.54,17.80,18043400,16.75
2008-10-08,20.26,21.02,19.20,19.20,12460900,18.07
2008-10-07,22.50,22.75,20.52,20.52,11134900,19.31
2008-10-06,23.77,23.99,21.65,22.26,12613300,20.95
2008-10-03,25.06,25.29,23.99,24.11,7621800,22.69
2008-10-02,25.09,25.46,24.70,24.76,10096200,23.30
2008-10-01,25.97,25.97,24.76,25.08,7038900,23.60
2008-09-30,23.68,26.00,23.67,25.39,10648200,23.90
2008-09-29,25.26,26.00,21.00,21.00,8695700,19.76
2008-09-26,25.00,26.20,25.00,25.81,4545800,24.29
2008-09-25,25.19,25.96,25.10,25.50,5511600,24.00
2008-09-24,26.01,26.27,24.98,25.10,4908000,23.62
2008-09-23,26.27,27.50,25.24,26.00,6472000,24.47
2008-09-22,27.00,27.09,26.14,26.52,6717500,24.96
2008-09-19,29.94,30.00,26.34,26.79,13050400,25.21
2008-09-18,25.85,26.72,24.90,26.57,12795600,25.01
2008-09-17,26.50,27.50,25.50,25.51,12287900,24.01
2008-09-16,27.73,27.80,25.84,26.78,17597900,25.20
2008-09-15,28.78,29.21,27.90,28.01,10762700,26.36
2008-09-12,30.00,30.00,28.91,29.61,7194800,27.87
2008-09-11,28.52,30.00,28.52,29.96,10032900,28.20
2008-09-10,28.51,29.58,28.42,29.31,8168400,27.59
2008-09-09,29.07,30.03,28.48,28.48,12618500,26.80
2008-09-08,28.66,29.25,28.22,29.16,8880900,27.44
2008-09-05,27.90,28.01,27.23,27.71,10914200,26.08
2008-09-04,29.56,29.62,27.72,28.06,13517500,26.41
2008-09-03,29.18,29.80,28.98,29.68,5111300,27.93
2008-09-02,30.49,31.39,29.00,29.28,12849800,27.56
2008-08-29,30.04,30.75,29.86,30.45,7137300,28.66
2008-08-28,29.55,30.22,29.43,30.06,5952400,28.29
2008-08-27,29.45,29.86,28.82,29.43,5643500,27.70
2008-08-26,29.30,30.36,29.01,29.46,6095000,27.73
2008-08-25,30.53,30.65,29.16,29.31,6565400,27.59
2008-08-22,30.46,30.72,30.11,30.61,6666400,28.81
2008-08-21,30.10,30.73,29.85,30.30,5937900,28.52
2008-08-20,30.95,30.96,29.89,30.24,7075300,28.46
2008-08-19,31.97,32.13,29.98,30.97,12564800,29.15
2008-08-18,33.25,33.49,31.90,32.13,8541000,30.24
2008-08-15,31.94,33.10,31.13,33.01,9848100,31.07
2008-08-14,31.71,32.36,31.10,31.89,7737000,30.01
2008-08-13,31.49,31.83,30.87,31.61,7219400,29.75
2008-08-12,31.39,31.94,31.18,31.48,7479300,29.63
2008-08-11,31.07,31.87,30.24,31.25,7417400,29.41
2008-08-08,29.27,31.19,29.27,31.00,10644200,29.18
2008-08-07,29.79,29.95,29.01,29.16,7074200,27.44
2008-08-06,30.41,30.41,29.36,29.86,9772900,28.10
2008-08-05,28.96,30.48,28.96,30.45,13067600,28.66
2008-08-04,28.70,29.50,27.50,28.96,11467400,27.26
2008-08-01,27.99,28.31,27.44,28.13,10702100,26.47
2008-07-31,27.12,28.97,27.12,28.08,17290000,26.43
2008-07-30,27.65,27.93,26.69,27.28,10490000,25.67
2008-07-29,26.85,27.66,26.62,27.53,7623700,25.91
2008-07-28,27.47,27.95,26.78,26.78,8837000,25.20
2008-07-25,27.02,27.60,26.90,27.45,11244200,25.83
2008-07-24,27.74,27.94,26.81,27.02,11180800,25.43
2008-07-23,27.92,28.13,27.28,27.76,26577700,26.13
2008-07-22,24.40,26.40,24.15,26.21,26171000,24.67
2008-07-21,24.13,24.34,23.76,23.83,13714500,22.43
2008-07-18,23.72,24.29,23.24,23.90,15625200,22.49
2008-07-17,22.60,23.67,22.49,23.58,16009900,22.19
2008-07-16,22.40,22.66,21.97,22.53,19159200,21.20
2008-07-15,21.91,22.42,21.20,22.33,16152700,21.02
2008-07-14,22.19,22.50,22.03,22.18,10634900,20.87
2008-07-11,21.76,22.55,21.54,22.16,14181300,20.86
2008-07-10,22.90,23.17,22.18,22.58,12975200,21.25
2008-07-09,23.35,23.56,22.75,22.93,16839800,21.58
2008-07-08,22.78,24.09,22.51,23.28,23354900,21.91
2008-07-07,22.71,23.67,22.68,23.31,17254000,21.94
2008-07-03,24.50,24.99,22.72,22.96,22763500,21.61
2008-07-02,27.02,27.30,25.04,25.12,27401600,23.64
2008-07-01,26.12,26.20,25.29,25.63,11956400,24.12
2008-06-30,26.05,26.58,25.50,26.25,15309500,24.71
2008-06-27,26.30,26.70,25.99,26.01,20100800,24.48
2008-06-26,26.48,27.30,25.89,25.97,12442100,24.44
2008-06-25,26.48,27.24,26.48,26.79,8488200,25.21
2008-06-24,26.15,26.75,25.92,26.43,13895800,24.87
2008-06-23,27.23,27.24,26.22,26.39,15516700,24.84
2008-06-20,27.84,27.95,27.00,27.12,17673700,25.52
2008-06-19,27.10,28.71,26.93,27.89,51415000,26.25
2008-06-18,29.97,30.40,29.89,30.22,18323000,28.44
2008-06-17,30.28,30.51,29.96,30.00,7366800,28.23
2008-06-16,30.65,30.74,29.92,30.20,11135300,28.42
2008-06-13,30.30,30.89,30.00,30.74,18258400,28.93
2008-06-12,32.04,32.11,30.98,31.01,15830200,29.19
2008-06-11,32.49,32.59,31.76,31.95,11565800,30.07
2008-06-10,33.01,33.01,32.48,32.60,9300200,30.68
2008-06-09,33.04,33.25,32.75,32.93,9009800,30.99
2008-06-06,33.72,33.89,32.99,33.03,12431000,31.09
2008-06-05,33.87,34.16,33.57,33.94,10629800,31.94
2008-06-04,33.92,34.11,33.67,33.82,11208500,31.83
2008-06-03,34.04,34.30,33.50,33.95,9692600,31.95
2008-06-02,34.22,34.42,33.66,33.99,10343700,31.99
2008-05-30,34.58,34.73,34.06,34.21,7643400,32.20
2008-05-29,34.10,34.77,34.01,34.50,11342700,32.47
2008-05-28,35.04,35.24,34.21,34.23,15387500,32.22
2008-05-27,34.69,35.23,34.62,35.02,10348000,32.96
2008-05-23,35.50,35.54,34.32,34.75,12066300,32.71
2008-05-22,34.50,35.77,34.00,35.30,16315500,33.22
2008-05-21,34.00,34.53,33.82,34.16,12849000,32.15
2008-05-20,33.65,34.19,33.46,34.05,19432000,32.05
2008-05-19,32.58,33.61,32.45,33.44,13271900,31.47
2008-05-16,32.11,32.59,31.86,32.32,17738000,30.42
2008-05-15,32.10,32.23,31.49,31.70,16034800,29.83
2008-05-14,32.54,32.80,32.02,32.02,10210200,30.14
