Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,221.52,222.72,221.03,222.68,1612100,222.28
2013-12-30,220.59,221.62,219.70,220.91,1485000,220.51
2013-12-27,221.00,221.40,219.15,219.67,1310500,219.27
2013-12-26,218.99,220.25,218.99,220.20,1224700,219.80
2013-12-24,218.47,219.59,217.02,218.73,1301900,218.34
2013-12-23,216.99,218.83,216.55,218.03,1998700,217.64
2013-12-20,216.72,218.20,215.90,215.97,5815900,215.58
2013-12-19,214.93,217.87,214.54,216.08,3348700,215.69
2013-12-18,213.10,215.48,210.00,215.35,4035500,214.96
2013-12-17,208.62,213.81,207.84,213.25,5161800,212.87
2013-12-16,208.04,210.57,207.29,207.75,3694900,207.38
2013-12-13,204.51,208.00,203.92,207.36,4418600,206.99
2013-12-12,204.97,205.65,202.50,203.44,2867300,203.07
2013-12-11,201.00,207.91,201.00,205.66,10082000,205.29
2013-12-10,200.91,201.69,199.43,199.43,3911800,199.07
2013-12-09,201.78,202.70,201.36,201.59,3166800,201.23
2013-12-06,203.70,203.84,201.00,201.87,2276700,201.51
2013-12-05,202.19,202.94,201.52,201.71,3315000,201.35
2013-12-04,201.78,203.33,201.08,202.74,2934800,202.38
2013-12-03,199.93,202.60,199.93,201.75,4258200,201.39
2013-12-02,204.10,206.49,204.10,205.13,2190500,204.76
2013-11-29,204.51,205.07,203.46,203.46,1034800,203.09
2013-11-27,203.50,204.83,203.03,203.99,1484900,203.62
2013-11-26,202.66,203.60,201.62,203.52,2811500,203.15
2013-11-25,202.52,202.65,201.31,201.93,1685500,201.57
2013-11-22,201.70,202.34,199.84,202.12,2037700,201.76
2013-11-21,199.28,202.00,197.45,201.61,3194100,201.25
2013-11-20,197.78,200.20,197.67,198.12,2549300,197.76
2013-11-19,200.35,200.40,196.82,197.39,3615700,197.03
2013-11-18,202.00,202.71,199.27,199.90,4095200,199.54
2013-11-15,199.76,202.54,199.74,202.00,3097900,201.64
2013-11-14,199.93,200.23,198.77,200.15,2727400,199.79
2013-11-13,196.65,199.78,196.50,199.78,2045400,199.42
2013-11-12,198.81,199.18,196.85,198.27,2254100,197.51
2013-11-11,198.64,199.70,198.22,199.27,2096300,198.51
2013-11-08,195.77,198.46,195.77,198.29,2865600,197.53
2013-11-07,199.97,200.36,196.10,196.10,2708100,195.35
2013-11-06,198.74,200.19,197.39,199.02,2219700,198.26
2013-11-05,195.38,197.97,195.00,197.37,2764500,196.62
2013-11-04,199.68,200.00,196.19,196.42,2772300,195.67
2013-11-01,198.95,200.97,198.52,199.16,3308400,198.40
2013-10-31,197.05,198.90,194.26,196.67,6008800,195.92
2013-10-30,204.86,204.90,201.64,203.82,2986600,203.04
2013-10-29,203.48,205.25,203.48,204.24,2149900,203.46
2013-10-28,203.57,204.50,202.45,203.08,1713600,202.31
2013-10-25,203.74,203.90,201.52,203.06,2753600,202.29
2013-10-24,199.87,203.38,199.61,202.91,2221400,202.14
2013-10-23,198.68,199.11,197.18,198.89,1869100,198.13
2013-10-22,200.05,202.68,199.51,199.98,3050700,199.22
2013-10-21,201.05,201.68,199.26,200.04,2881500,199.28
2013-10-18,198.72,200.99,196.95,200.45,3596800,199.69
2013-10-17,195.67,198.75,195.47,198.28,3151300,197.52
2013-10-16,192.42,195.81,191.84,195.63,2595700,194.88
2013-10-15,193.03,194.42,191.37,191.37,2641900,190.64
2013-10-14,190.37,193.79,190.02,193.44,2230600,192.70
2013-10-11,188.80,192.20,187.50,192.20,2978800,191.47
2013-10-10,185.94,189.12,185.55,189.03,2716400,188.31
2013-10-09,183.40,184.70,180.11,183.85,3362000,183.15
2013-10-08,186.24,188.38,182.51,182.53,4009900,181.83
2013-10-07,187.95,187.95,186.32,186.33,2946300,185.62
2013-10-04,188.64,191.15,188.01,190.48,2341400,189.75
2013-10-03,191.99,192.11,187.74,188.65,4911500,187.93
2013-10-02,191.90,193.00,191.00,191.82,2178100,191.09
2013-10-01,191.29,193.61,190.07,193.22,2346200,192.48
2013-09-30,190.80,191.96,190.25,191.10,2390400,190.37
2013-09-27,191.99,193.71,191.81,193.05,1814600,192.31
2013-09-26,192.45,194.50,191.66,193.56,2331600,192.82
2013-09-25,193.27,194.00,190.68,191.56,2648700,190.83
2013-09-24,196.24,196.80,192.62,193.34,3824100,192.60
2013-09-23,197.96,200.86,196.00,196.24,4887900,195.49
2013-09-20,195.30,198.83,193.87,198.83,14426800,198.07
2013-09-19,194.53,198.00,194.01,194.71,3741600,193.97
2013-09-18,190.42,194.00,190.17,193.65,2618700,192.91
2013-09-17,189.32,191.90,188.56,191.60,2600200,190.87
2013-09-16,190.96,191.08,188.88,189.38,2845200,188.66
2013-09-13,185.49,189.30,185.20,189.00,4100900,188.28
2013-09-12,186.43,187.81,185.06,185.06,3553000,184.35
2013-09-11,185.00,186.53,182.91,186.31,2751500,185.60
2013-09-10,182.41,184.65,181.33,184.59,4876800,183.89
2013-09-09,177.28,178.65,177.28,178.55,2700400,177.87
2013-09-06,176.32,177.89,175.05,176.67,1674300,176.00
2013-09-05,176.13,176.70,175.23,176.21,1851700,175.54
2013-09-04,176.90,177.88,175.25,176.19,2438300,175.52
2013-09-03,176.03,178.40,175.25,177.02,3137600,176.35
2013-08-30,175.41,175.50,173.81,174.42,2471600,173.75
2013-08-29,175.11,177.28,174.79,175.37,2351200,174.70
2013-08-28,173.37,175.79,173.37,175.21,3918000,174.54
2013-08-27,172.98,175.08,172.57,174.17,3190600,173.51
2013-08-26,179.46,179.46,174.97,175.00,3447300,174.33
2013-08-23,180.40,180.59,177.62,179.10,2451800,178.42
2013-08-22,179.64,181.43,177.02,178.92,2646600,178.24
2013-08-21,173.26,181.50,172.52,178.39,7732700,177.71
2013-08-20,174.61,175.27,172.90,173.22,3533800,172.56
2013-08-19,172.33,176.89,172.21,174.98,2995500,174.31
2013-08-16,173.72,174.73,172.36,173.13,3153100,172.47
2013-08-15,177.45,177.49,173.45,173.93,4322100,173.27
2013-08-14,179.51,181.49,178.35,178.35,3834700,177.67
2013-08-13,180.50,180.64,178.68,179.23,2851800,178.22
2013-08-12,179.40,179.98,178.40,179.76,3405600,178.74
2013-08-09,180.80,181.35,179.56,179.81,2507100,178.79
2013-08-08,182.41,182.56,179.93,180.78,2406700,179.76
2013-08-07,181.41,182.00,179.90,181.39,3889100,180.37
2013-08-06,184.21,184.31,180.85,182.89,4996700,181.86
2013-08-05,184.00,185.14,182.80,184.54,2869900,183.50
2013-08-02,181.62,184.09,180.84,184.00,5424600,182.96
2013-08-01,181.76,181.76,173.28,179.17,18571800,178.16
2013-07-31,193.75,194.90,170.99,177.01,22518400,176.01
2013-07-30,192.70,193.20,191.15,191.44,3477800,190.36
2013-07-29,192.86,193.49,191.25,191.97,1444100,190.89
2013-07-26,194.00,194.60,191.83,193.20,2177300,192.11
2013-07-25,191.00,196.00,191.00,194.61,5480800,193.51
2013-07-24,189.79,189.85,185.66,186.75,3498400,185.70
2013-07-23,190.73,191.47,188.54,188.58,2927700,187.52
2013-07-22,190.21,191.31,189.25,191.22,1982600,190.14
2013-07-19,191.08,191.99,189.40,189.92,2262100,188.85
2013-07-18,190.21,191.40,189.95,191.01,1484600,189.93
2013-07-17,188.44,189.95,188.14,189.64,2779500,188.57
2013-07-16,190.19,190.73,188.70,189.38,1878800,188.31
2013-07-15,191.50,191.83,189.80,190.25,3632300,189.18
2013-07-12,189.90,190.73,189.15,190.72,1945700,189.64
2013-07-11,189.34,190.06,187.52,189.96,3558800,188.89
2013-07-10,187.35,187.81,185.81,186.70,3880800,185.65
2013-07-09,188.95,189.53,186.60,187.20,5832600,186.14
2013-07-08,191.60,192.77,188.06,188.10,4897000,187.04
2013-07-05,188.87,190.86,187.50,190.79,2123900,189.71
2013-07-03,184.18,187.44,183.93,187.04,1133300,185.98
2013-07-02,185.08,187.04,184.26,185.24,2187300,184.19
2013-07-01,183.90,187.46,183.63,185.22,2904000,184.17
2013-06-28,184.26,184.72,182.22,182.75,3164100,181.72
2013-06-27,183.44,185.00,182.50,184.26,2775600,183.22
2013-06-26,181.89,183.14,180.48,182.65,2598200,181.62
2013-06-25,179.80,181.38,178.50,180.47,3180400,179.45
2013-06-24,178.11,179.48,175.68,178.27,3881900,177.26
2013-06-21,180.00,181.50,178.80,179.50,4480800,178.49
2013-06-20,181.53,182.48,178.46,178.46,3883500,177.45
2013-06-19,184.25,185.13,182.53,182.63,3055200,181.60
2013-06-18,181.72,185.23,181.72,184.01,1894800,182.97
2013-06-17,182.32,183.72,181.50,182.35,3694800,181.32
2013-06-14,182.05,182.48,180.11,180.93,1856800,179.91
2013-06-13,179.15,182.76,178.71,182.25,2440100,181.22
2013-06-12,180.64,180.64,178.71,179.15,2498700,178.14
2013-06-11,180.55,181.95,179.56,179.66,1964100,178.65
2013-06-10,180.54,183.14,179.63,182.33,3444800,181.30
2013-06-07,180.65,181.00,179.55,179.94,3474800,178.92
2013-06-06,176.69,179.42,176.40,179.35,3666200,178.34
2013-06-05,179.87,180.19,176.86,177.22,3044200,176.22
2013-06-04,179.40,181.75,178.70,180.20,3382100,179.18
2013-06-03,178.75,180.68,177.51,180.19,3808100,179.17
2013-05-31,180.57,181.40,178.10,178.14,3128600,177.13
2013-05-30,178.34,181.99,178.34,181.03,2407000,180.01
2013-05-29,179.22,180.20,178.07,178.14,1872600,177.13
2013-05-28,182.44,182.54,179.67,180.03,2484300,179.01
2013-05-24,177.88,181.10,176.90,180.45,3076600,179.43
2013-05-23,178.38,179.51,177.11,178.10,4226500,177.09
2013-05-22,182.08,184.42,180.10,180.14,4890800,179.12
2013-05-21,181.54,182.69,180.39,181.55,3355700,180.52
2013-05-20,183.91,184.90,180.80,181.61,5298000,180.58
2013-05-17,180.88,184.58,180.52,184.57,3312200,183.53
2013-05-16,181.74,181.74,179.78,179.80,2478400,178.78
2013-05-15,180.00,181.79,179.68,181.76,3406100,180.73
2013-05-14,178.98,181.49,178.64,180.32,4018700,178.97
2013-05-13,178.58,180.44,178.13,178.93,3120000,177.59
2013-05-10,178.68,179.02,177.55,178.75,3459400,177.42
2013-05-09,179.23,179.88,178.23,178.58,2875300,177.25
2013-05-08,179.46,179.50,177.70,179.26,3612300,177.92
2013-05-07,179.49,179.86,177.22,179.79,2969100,178.45
2013-05-06,179.34,180.77,178.13,178.89,3271000,177.55
2013-05-03,176.96,180.84,176.43,179.54,3756600,178.20
2013-05-02,170.00,179.66,170.00,175.40,7669300,174.09
2013-05-01,166.99,168.26,163.60,166.02,3063100,164.78
2013-04-30,168.59,169.90,168.04,168.46,3040400,167.20
2013-04-29,167.73,168.50,167.16,167.90,2673600,166.65
2013-04-26,168.76,169.60,167.14,167.23,1531800,165.98
2013-04-25,167.91,170.48,167.44,168.76,2330700,167.50
2013-04-24,165.66,167.57,165.60,167.06,1861800,165.81
2013-04-23,164.27,165.68,163.53,165.66,1581000,164.42
2013-04-22,163.57,164.35,162.49,163.53,1350900,162.31
2013-04-19,162.08,164.11,161.75,163.96,1905100,162.74
2013-04-18,162.59,163.39,161.27,161.41,5252700,160.20
2013-04-17,163.74,164.03,161.94,162.23,2385900,161.02
2013-04-16,162.65,164.80,162.50,164.71,2523000,163.48
2013-04-15,164.62,164.88,161.29,161.29,2693500,160.09
2013-04-12,165.91,166.83,165.10,165.75,1769200,164.51
2013-04-11,167.00,167.90,166.22,167.62,1647500,166.37
2013-04-10,164.97,167.30,164.97,166.99,2249100,165.74
2013-04-09,166.83,166.88,164.01,164.75,1501100,163.52
2013-04-08,165.64,166.37,164.48,166.29,1531400,165.05
2013-04-05,164.21,165.42,163.59,165.16,1990600,163.93
2013-04-04,165.42,166.53,165.01,166.48,2225900,165.24
2013-04-03,168.42,168.53,164.28,164.75,4156200,163.52
2013-04-02,168.42,168.90,167.31,167.95,2395500,166.70
2013-04-01,169.75,170.99,166.90,167.35,3308800,166.10
2013-03-28,168.75,170.96,168.13,169.84,3114100,168.57
2013-03-27,166.61,169.23,165.51,168.66,3342800,167.40
2013-03-26,164.90,167.78,164.54,167.46,4316200,166.21
2013-03-25,160.75,164.28,160.50,164.00,4834200,162.78
2013-03-22,158.21,160.16,157.72,160.09,4697600,158.89
2013-03-21,158.45,159.73,157.80,157.80,3720800,156.62
2013-03-20,157.00,159.97,156.72,159.33,4017600,158.14
2013-03-19,158.00,159.35,155.68,156.00,4413100,154.84
2013-03-18,157.28,159.18,156.40,158.07,3790700,156.89
2013-03-15,160.03,160.64,158.53,158.55,4399900,157.37
2013-03-14,159.40,161.07,159.30,160.66,3713400,159.46
2013-03-13,159.50,160.40,158.85,159.37,2755400,158.18
2013-03-12,160.68,160.97,159.03,159.80,2085200,158.61
2013-03-11,161.37,161.60,160.41,161.18,1685500,159.98
2013-03-08,161.34,161.40,159.89,160.67,2392900,159.47
2013-03-07,160.87,161.78,159.65,160.51,2171800,159.31
2013-03-06,160.86,161.70,160.20,161.06,1879000,159.86
2013-03-05,160.09,161.78,159.86,160.29,2566900,159.09
2013-03-04,157.76,159.54,157.55,159.50,1642500,158.31
2013-03-01,157.93,158.86,156.65,158.08,3303000,156.90
