Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,33.18,34.34,33.03,33.90,17429200,23.83
2008-12-30,33.37,33.45,32.68,33.23,13481900,23.36
2008-12-29,33.35,33.43,32.58,33.14,10837500,23.29
2008-12-26,32.96,33.30,32.88,33.19,5192700,23.33
2008-12-24,32.88,33.34,32.77,32.85,4411300,23.09
2008-12-23,33.56,33.79,32.67,32.79,13444300,23.05
2008-12-22,33.42,33.92,32.63,33.42,16366300,23.49
2008-12-19,33.69,34.40,33.15,33.19,29576300,23.33
2008-12-18,34.23,34.37,32.94,33.30,20496700,23.40
2008-12-17,33.29,34.61,33.05,34.05,19395100,23.93
2008-12-16,32.75,34.30,32.25,33.50,30786500,23.54
2008-12-15,32.94,33.17,31.68,32.30,22095300,22.70
2008-12-12,31.74,33.27,31.74,32.80,21908200,23.05
2008-12-11,32.53,33.46,32.18,32.47,23501000,22.82
2008-12-10,33.87,34.08,32.66,32.74,28329400,23.01
2008-12-09,34.01,34.25,33.07,33.35,24560200,23.44
2008-12-08,34.00,34.90,33.60,34.23,26441500,24.06
2008-12-05,31.87,33.35,30.98,33.19,21366600,23.33
2008-12-04,32.73,33.51,31.62,32.15,20631900,22.60
2008-12-03,31.43,33.42,31.20,33.19,26331900,23.33
2008-12-02,31.19,32.39,30.85,32.13,23220600,22.58
2008-12-01,32.14,32.16,30.50,30.67,21788100,21.56
2008-11-28,32.49,33.00,32.14,32.65,8127100,22.95
2008-11-26,29.82,32.89,29.70,32.54,26568800,22.87
2008-11-25,30.25,31.00,29.63,30.58,22324600,21.49
2008-11-24,29.00,30.73,28.96,29.73,31179100,20.90
2008-11-21,27.40,28.64,26.23,28.47,34991400,20.01
2008-11-20,26.54,28.82,26.27,26.50,32244700,18.63
2008-11-19,28.83,28.84,26.94,26.94,27203200,18.93
2008-11-18,29.00,29.75,27.58,28.50,29272300,20.03
2008-11-17,29.87,30.25,28.65,29.24,17438600,20.55
2008-11-14,30.47,31.78,29.63,30.00,24803400,21.09
2008-11-13,29.03,31.24,28.30,31.14,27287500,21.89
2008-11-12,29.60,29.69,28.69,28.96,18681900,20.35
2008-11-11,30.12,30.57,29.42,29.72,20089000,20.89
2008-11-10,30.94,31.15,30.13,30.49,15699800,21.43
2008-11-07,29.84,30.16,29.26,30.05,19871200,21.12
2008-11-06,30.91,31.21,28.87,29.25,24578000,20.56
2008-11-05,32.22,32.41,30.56,30.84,19023500,21.68
2008-11-04,31.67,33.06,31.51,32.61,20741200,22.92
2008-11-03,30.12,31.06,29.92,30.75,15514400,21.61
2008-10-31,30.68,31.41,29.59,29.67,25524500,20.85
2008-10-30,31.60,31.81,29.79,30.50,19637500,21.44
2008-10-29,31.39,31.65,29.98,30.50,32251700,21.44
2008-10-28,28.27,31.68,27.86,31.65,37816000,22.24
2008-10-27,26.10,28.37,25.86,27.61,35442400,19.41
